season,player_id,rec_context_targets,rec_avg_depth_target,rec_deep_targets,rec_short_targets,rec_left_targets,rec_middle_targets,rec_right_targets,rec_redzone_targets,rec_deep_target_rate,rec_short_target_rate,rec_left_target_rate,rec_middle_target_rate,rec_right_target_rate,rec_redzone_target_rate,rec_route_out_break,rec_route_hitch,rec_route_in_break,rec_route_screen,rec_route_vertical,rec_route_other
2024,00-0033307,38,9.289473684210526,5,8,15,7,16,2,0.13157894736842105,0.21052631578947367,0.39473684210526316,0.18421052631578946,0.42105263157894735,0.05263157894736842,0.34210526315789475,0.21052631578947367,0.18421052631578946,0.07894736842105263,0.18421052631578946,0
2024,00-0033357,31,3.4838709677419355,1,20,8,9,14,2,0.03225806451612903,0.6451612903225806,0.25806451612903225,0.2903225806451613,0.45161290322580644,0.06451612903225806,0.3225806451612903,0.25806451612903225,0.22580645161290322,0.12903225806451613,0.06451612903225806,0
2024,00-0033375,45,9.977272727272727,14,15,7,23,14,9,0.3111111111111111,0.3333333333333333,0.15555555555555556,0.5111111111111111,0.3111111111111111,0.2,0.1111111111111111,0.24444444444444444,0.4222222222222222,0.044444444444444446,0.17777777777777778,0
2024,00-0033376,5,1.2,0,4,0,2,3,2,0,0.8,0,0.4,0.6,0.4,0.5,0,0.25,0,0.25,0
2024,00-0033439,12,4.25,1,6,4,2,6,1,0.08333333333333333,0.5,0.3333333333333333,0.16666666666666666,0.5,0.08333333333333333,0.16666666666666666,0.5,0.16666666666666666,0.08333333333333333,0.08333333333333333,0
2024,00-0033460,2,23.5,1,1,2,0,0,0,0.5,0.5,1,0,0,0,0,0.5,0,0,0.5,0
2024,00-0033526,35,0.3142857142857143,0,29,8,6,21,3,0,0.8285714285714286,0.22857142857142856,0.17142857142857143,0.6,0.08571428571428572,0.2857142857142857,0.08571428571428572,0.14285714285714285,0.45714285714285713,0.02857142857142857,0
2024,00-0033536,35,15.235294117647058,19,4,15,7,12,3,0.5428571428571428,0.11428571428571428,0.42857142857142855,0.2,0.34285714285714286,0.08571428571428572,0.05714285714285714,0.17142857142857143,0.22857142857142856,0,0.5428571428571428,0
2024,00-0033553,55,-1.8727272727272728,0,55,28,12,15,5,0,1,0.509090909090909,0.21818181818181817,0.2727272727272727,0.09090909090909091,0.18181818181818182,0.2909090909090909,0.03636363636363636,0.4909090909090909,0,0
2024,00-0033555,50,12.98,16,7,18,12,20,7,0.32,0.14,0.36,0.24,0.4,0.14,0.16,0.16,0.38,0.02,0.28,0
2024,00-0033576,14,6.714285714285714,2,4,5,4,5,4,0.14285714285714285,0.2857142857142857,0.35714285714285715,0.2857142857142857,0.35714285714285715,0.2857142857142857,0.21428571428571427,0.42857142857142855,0.07142857142857142,0.07142857142857142,0.21428571428571427,0
2024,00-0033589,57,11.070175438596491,18,11,18,10,29,11,0.3157894736842105,0.19298245614035087,0.3157894736842105,0.17543859649122806,0.5087719298245614,0.19298245614035087,0.23214285714285715,0.25,0.21428571428571427,0.017857142857142856,0.2857142857142857,0
