season,player_id,team,qb_dropbacks,qb_attempts,qb_deep_attempts,qb_left_attempts,qb_middle_attempts,qb_right_attempts,qb_redzone_dropbacks,qb_avg_air_yards,qb_deep_throw_rate,qb_left_throw_rate,qb_middle_throw_rate,qb_right_throw_rate,qb_redzone_throw_rate,qb_target_pos_OTHER,qb_target_pos_RB,qb_target_pos_TE,qb_target_pos_WR,qb_route_in_break,qb_route_other,qb_route_screen,qb_route_vertical,qb_route_out_break,qb_route_hitch
2019,00-0023682,MIA,546,546,105,186,146,167,77,8.99003984063745,0.19230769230769232,0.34065934065934067,0.2673992673992674,0.3058608058608059,0.14102564102564102,0.004032258064516129,0.18346774193548387,0.20161290322580644,0.6108870967741935,0.0975609756097561,0.6239837398373984,0.0508130081300813,0.22764227642276422,0,0
2019,00-0024417,BAL,1,1,0,0,1,0,0,-5,0,0,1,0,0,0,0,1,0,NA,NA,NA,NA,0,0
2019,00-0025708,KC,99,99,16,34,15,41,11,6.923076923076923,0.16161616161616163,0.3434343434343434,0.15151515151515152,0.41414141414141414,0.1111111111111111,0,0.13636363636363635,0.2840909090909091,0.5795454545454546,0.045454545454545456,0.75,0.07954545454545454,0.125,0,0
2019,00-0025825,TEN,2,2,1,1,0,1,0,16.5,0.5,0.5,0,0.5,0,1,0,0,0,NA,NA,NA,NA,0,0
2019,00-0026035,DET,1,1,0,1,0,0,1,14,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0
2019,00-0026143,ATL,669,669,114,257,156,202,98,8.199675324675324,0.17040358744394618,0.3841554559043348,0.23318385650224216,0.30194319880418535,0.14648729446935724,0.003367003367003367,0.17003367003367004,0.18518518518518517,0.6414141414141414,0.0663265306122449,0.7159863945578231,0.06462585034013606,0.15306122448979592,0,0
2019,00-0026158,DEN,289,289,41,80,60,121,42,6.782442748091603,0.14186851211072665,0.2768166089965398,0.20761245674740483,0.4186851211072664,0.1453287197231834,0,0.2868525896414343,0.17928286852589642,0.5338645418326693,0.076,0.696,0.044,0.184,0,0
2019,00-0026498,DET,310,310,80,99,70,120,46,10.683848797250858,0.25806451612903225,0.3193548387096774,0.22580645161290322,0.3870967741935484,0.14838709677419354,0,0.1824561403508772,0.21403508771929824,0.6035087719298246,0.056338028169014086,0.6197183098591549,0.045774647887323945,0.27816901408450706,0,0
2019,00-0026544,CHI,71,71,10,21,12,31,9,6.71875,0.14084507042253522,0.29577464788732394,0.16901408450704225,0.43661971830985913,0.1267605633802817,0,0.28125,0.1875,0.53125,0.046875,0.65625,0.125,0.171875,0,0
2019,00-0026625,IND,71,71,17,18,16,31,20,8.6,0.23943661971830985,0.2535211267605634,0.22535211267605634,0.43661971830985913,0.28169014084507044,0,0.16923076923076924,0.38461538461538464,0.4461538461538462,0.015625,0.71875,0.03125,0.234375,0,0
2019,00-0027150,NE,2,2,1,1,0,1,1,4.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0
2019,00-0027685,SF,1,1,1,0,0,1,0,22,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0
2019,00-0027688,WAS,33,33,3,8,12,7,0,6.555555555555555,0.09090909090909091,0.24242424242424243,0.36363636363636365,0.21212121212121213,0,0,0.25925925925925924,0.1111111111111111,0.6296296296296297,0.037037037037037035,0.7407407407407407,0.1111111111111111,0.1111111111111111,0,0
2019,00-0027939,CAR,95,95,15,33,11,44,6,8.910112359550562,0.15789473684210525,0.3473684210526316,0.11578947368421053,0.4631578947368421,0.06315789473684211,0,0.19767441860465115,0.22093023255813954,0.5813953488372093,0.08139534883720931,0.7209302325581395,0.046511627906976744,0.1511627906976744,0,0
2019,00-0027973,CIN,567,567,100,179,125,217,81,8.102272727272727,0.1763668430335097,0.31569664902998235,0.2204585537918871,0.38271604938271603,0.14285714285714285,0.001976284584980237,0.14624505928853754,0.19367588932806323,0.658102766798419,0.073558648111332,0.679920477137177,0.06759443339960239,0.17892644135188868,0,0
2019,00-0028002,DAL,1,1,0,1,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
2019,00-0028064,NYJ,1,1,0,1,0,0,0,13,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
2019,00-0028118,LAC,6,6,1,1,1,4,2,5.333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.3333333333333333,0,0.5,0.16666666666666666,0.3333333333333333,0,0.6666666666666666,0,0.3333333333333333,0,0
2019,00-0028872,LA,3,3,0,1,1,1,0,4,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0.6666666666666666,0,0,0.3333333333333333,NA,NA,NA,NA,0,0
2019,00-0028986,WAS,264,264,40,72,78,95,47,6.882591093117409,0.15151515151515152,0.2727272727272727,0.29545454545454547,0.35984848484848486,0.17803030303030304,0,0.23553719008264462,0.19008264462809918,0.5743801652892562,0.09166666666666666,0.6708333333333333,0.1,0.1375,0,0
2019,00-0029263,SEA,566,566,124,244,96,173,96,9.36046511627907,0.21908127208480566,0.43109540636042404,0.1696113074204947,0.30565371024734983,0.1696113074204947,0.006060606060606061,0.16767676767676767,0.20606060606060606,0.6202020202020202,0.052845528455284556,0.5955284552845529,0.08536585365853659,0.266260162601626,0,0
2019,00-0029567,JAX,128,128,26,36,21,60,10,8.461538461538462,0.203125,0.28125,0.1640625,0.46875,0.078125,0,0.24778761061946902,0.10619469026548672,0.6460176991150443,0.02727272727272727,0.7090909090909091,0.11818181818181818,0.14545454545454545,0,0
2019,00-0029604,MIN,475,475,86,161,105,178,59,7.637387387387387,0.18105263157894738,0.3389473684210526,0.22105263157894736,0.37473684210526315,0.12421052631578948,0.0023584905660377358,0.2806603773584906,0.2429245283018868,0.4740566037735849,0.0380952380952381,0.6761904761904762,0.10714285714285714,0.17857142857142858,0,0
2019,00-0029623,NYG,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
2019,00-0029664,SEA,1,1,1,0,0,1,0,33,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
