season,player_id,rec_context_targets,rec_avg_depth_target,rec_deep_targets,rec_short_targets,rec_left_targets,rec_middle_targets,rec_right_targets,rec_redzone_targets,rec_deep_target_rate,rec_short_target_rate,rec_left_target_rate,rec_middle_target_rate,rec_right_target_rate,rec_redzone_target_rate,rec_route_hitch,rec_route_in_break,rec_route_screen,rec_route_out_break,rec_route_vertical,rec_route_other
2023,00-0033307,55,10.436363636363636,12,17,17,14,24,6,0.21818181818181817,0.3090909090909091,0.3090909090909091,0.2545454545454545,0.43636363636363634,0.10909090909090909,0.3018867924528302,0.24528301886792453,0.11320754716981132,0.1320754716981132,0.20754716981132076,0
2023,00-0033308,21,0.047619047619047616,1,20,7,4,10,0,0.047619047619047616,0.9523809523809523,0.3333333333333333,0.19047619047619047,0.47619047619047616,0,0.14285714285714285,0.09523809523809523,0.2857142857142857,0.42857142857142855,0.047619047619047616,0
2023,00-0033357,40,5.225,4,25,14,8,18,5,0.1,0.625,0.35,0.2,0.45,0.125,0.15,0.3,0.1,0.325,0.125,0
2023,00-0033376,7,2.7142857142857144,0,5,3,1,3,3,0,0.7142857142857143,0.42857142857142855,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.2857142857142857,0.14285714285714285,0,0.5714285714285714,0,0
2023,00-0033439,15,6.933333333333334,5,10,4,2,9,0,0.3333333333333333,0.6666666666666666,0.26666666666666666,0.13333333333333333,0.6,0,0,0.13333333333333333,0,0.5333333333333333,0.3333333333333333,0
2023,00-0033466,14,2.5,2,10,6,1,7,0,0.14285714285714285,0.7142857142857143,0.42857142857142855,0.07142857142857142,0.5,0,0.07142857142857142,0.21428571428571427,0.42857142857142855,0.21428571428571427,0.07142857142857142,0
2023,00-0033526,56,-0.17857142857142858,0,55,18,17,21,3,0,0.9821428571428571,0.32142857142857145,0.30357142857142855,0.375,0.05357142857142857,0.18181818181818182,0.14545454545454545,0.23636363636363636,0.43636363636363634,0,0
2023,00-0033536,26,11.807692307692308,8,7,9,5,12,2,0.3076923076923077,0.2692307692307692,0.34615384615384615,0.19230769230769232,0.46153846153846156,0.07692307692307693,0.16666666666666666,0.20833333333333334,0.25,0.08333333333333333,0.2916666666666667,0
2023,00-0033553,35,-0.696969696969697,2,30,15,6,12,7,0.05714285714285714,0.8571428571428571,0.42857142857142855,0.17142857142857143,0.34285714285714286,0.2,0.17142857142857143,0.05714285714285714,0.4857142857142857,0.2,0.08571428571428572,0
2023,00-0033555,30,12.5,10,5,10,5,15,2,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.5,0.06666666666666667,0.20689655172413793,0.3103448275862069,0.034482758620689655,0.2413793103448276,0.20689655172413793,0
