season,player_id,rec_context_targets,rec_avg_depth_target,rec_deep_targets,rec_short_targets,rec_left_targets,rec_middle_targets,rec_right_targets,rec_redzone_targets,rec_deep_target_rate,rec_short_target_rate,rec_left_target_rate,rec_middle_target_rate,rec_right_target_rate,rec_redzone_target_rate,rec_route_other,rec_route_screen,rec_route_vertical,rec_route_in_break,rec_route_out_break,rec_route_hitch
2021,00-0030578,69,3.101449275362319,4,51,31,12,26,12,0.057971014492753624,0.7391304347826086,0.4492753623188406,0.17391304347826086,0.37681159420289856,0.17391304347826086,0.6231884057971014,0.18840579710144928,0.13043478260869565,0.057971014492753624,0,0
2021,00-0030663,8,8.375,2,2,4,2,2,2,0.25,0.25,0.5,0.25,0.25,0.25,0.625,0,0.125,0.25,0,0
2021,00-0030669,39,5.384615384615385,4,20,17,7,15,2,0.10256410256410256,0.5128205128205128,0.4358974358974359,0.1794871794871795,0.38461538461538464,0.05128205128205128,0.717948717948718,0.1282051282051282,0.07692307692307693,0.07692307692307693,0,0
2021,00-0030874,23,1.7826086956521738,2,18,6,8,9,1,0.08695652173913043,0.782608695652174,0.2608695652173913,0.34782608695652173,0.391304347826087,0.043478260869565216,0.6956521739130435,0.21739130434782608,0.08695652173913043,0,0,0
2021,00-0030968,10,2.1,0,8,5,1,4,0,0,0.8,0.5,0.1,0.4,0,0.9,0.1,0,0,0,0
2021,00-0031045,21,1.4761904761904763,1,18,4,7,10,1,0.047619047619047616,0.8571428571428571,0.19047619047619047,0.3333333333333333,0.47619047619047616,0.047619047619047616,0.8095238095238095,0.14285714285714285,0,0.047619047619047616,0,0
2021,00-0031051,3,31,3,0,2,1,0,0,1,0,0.6666666666666666,0.3333333333333333,0,0,0,0,1,0,0,0
2021,00-0031062,14,3.642857142857143,2,11,8,3,3,1,0.14285714285714285,0.7857142857142857,0.5714285714285714,0.21428571428571427,0.21428571428571427,0.07142857142857142,0.7142857142857143,0.14285714285714285,0.14285714285714285,0,0,0
2021,00-0031235,83,13.317073170731707,29,24,27,18,37,13,0.3493975903614458,0.2891566265060241,0.3253012048192771,0.21686746987951808,0.4457831325301205,0.1566265060240964,0.4878048780487805,0.08536585365853659,0.2926829268292683,0.13414634146341464,0,0
2021,00-0031236,134,10.619402985074627,35,46,50,20,64,10,0.26119402985074625,0.34328358208955223,0.373134328358209,0.14925373134328357,0.47761194029850745,0.07462686567164178,0.5522388059701493,0.11940298507462686,0.23880597014925373,0.08955223880597014,0,0
2021,00-0031260,25,9.96,7,8,11,6,8,5,0.28,0.32,0.44,0.24,0.32,0.2,0.72,0,0.28,0,0,0
2021,00-0031273,57,7.614035087719298,9,19,16,23,18,20,0.15789473684210525,0.3333333333333333,0.2807017543859649,0.40350877192982454,0.3157894736842105,0.3508771929824561,0.6491228070175439,0.03508771929824561,0.17543859649122806,0.14035087719298245,0,0
2021,00-0031285,42,0.8571428571428571,1,37,9,12,21,9,0.023809523809523808,0.8809523809523809,0.21428571428571427,0.2857142857142857,0.5,0.21428571428571427,0.9047619047619048,0.09523809523809523,0,0,0,0
2021,00-0031319,4,2.25,0,3,0,0,4,1,0,0.75,0,0,1,0.25,0.5,0.25,0.25,0,0,0
2021,00-0031325,49,12.857142857142858,12,6,19,18,12,4,0.24489795918367346,0.12244897959183673,0.3877551020408163,0.3673469387755102,0.24489795918367346,0.08163265306122448,0.6122448979591837,0,0.2653061224489796,0.12244897959183673,0,0
2021,00-0031376,20,-0.45,1,19,11,3,6,4,0.05,0.95,0.55,0.15,0.3,0.2,0.85,0.1,0.05,0,0,0
2021,00-0031381,169,9.550295857988166,40,66,74,31,64,28,0.23668639053254437,0.3905325443786982,0.4378698224852071,0.1834319526627219,0.378698224852071,0.16568047337278108,0.5502958579881657,0.08875739644970414,0.22485207100591717,0.13609467455621302,0,0
2021,00-0031382,87,8,20,29,29,13,45,10,0.22988505747126436,0.3333333333333333,0.3333333333333333,0.14942528735632185,0.5172413793103449,0.11494252873563218,0.6896551724137931,0.08045977011494253,0.12643678160919541,0.10344827586206896,0,0
2021,00-0031384,2,0.5,0,2,0,1,1,1,0,1,0,0.5,0.5,0.5,0.5,0.5,0,0,0,0
