season,player_id,rec_context_targets,rec_avg_depth_target,rec_deep_targets,rec_short_targets,rec_left_targets,rec_middle_targets,rec_right_targets,rec_redzone_targets,rec_deep_target_rate,rec_short_target_rate,rec_left_target_rate,rec_middle_target_rate,rec_right_target_rate,rec_redzone_target_rate,rec_route_vertical,rec_route_hitch,rec_route_in_break,rec_route_out_break,rec_route_screen,rec_route_other
2025,00-0034365,13,3.230769230769231,1,8,6,5,2,0,0.07692307692307693,0.6153846153846154,0.46153846153846156,0.38461538461538464,0.15384615384615385,0,0.07692307692307693,0.5384615384615384,0.07692307692307693,0.15384615384615385,0.15384615384615385,0
2025,00-0034383,107,6.216981132075472,7,42,41,13,52,12,0.06542056074766354,0.3925233644859813,0.38317757009345793,0.12149532710280374,0.48598130841121495,0.11214953271028037,0.1320754716981132,0.2830188679245283,0.12264150943396226,0.4339622641509434,0.02830188679245283,0
2025,00-0034386,4,8.25,1,2,1,0,3,2,0.25,0.5,0.25,0,0.75,0.5,0.25,0,0,0.75,0,0
2025,00-0034407,15,5.6,2,5,7,5,3,1,0.13333333333333333,0.3333333333333333,0.4666666666666667,0.3333333333333333,0.2,0.06666666666666667,0.07692307692307693,0.07692307692307693,0.38461538461538464,0.3076923076923077,0.15384615384615385,0
2025,00-0034418,9,8.777777777777779,1,3,2,1,6,3,0.1111111111111111,0.3333333333333333,0.2222222222222222,0.1111111111111111,0.6666666666666666,0.3333333333333333,0.2222222222222222,0,0.4444444444444444,0.3333333333333333,0,0
2025,00-0034419,8,3,0,4,3,3,2,2,0,0.5,0.375,0.375,0.25,0.25,0,0.25,0.375,0.25,0.125,0
2025,00-0034487,5,9,1,2,2,1,2,2,0.2,0.4,0.4,0.2,0.4,0.4,0.2,0.2,0.2,0.4,0,0
2025,00-0034521,18,7.888888888888889,3,10,4,3,11,6,0.16666666666666666,0.5555555555555556,0.2222222222222222,0.16666666666666666,0.6111111111111112,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.2222222222222222,0.1111111111111111,0
2025,00-0034613,24,4.958333333333333,2,15,7,10,7,6,0.08333333333333333,0.625,0.2916666666666667,0.4166666666666667,0.2916666666666667,0.25,0.125,0.4583333333333333,0.25,0.125,0.041666666666666664,0
2025,00-0034678,1,2,0,1,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0
2025,00-0034753,70,7.257142857142857,9,27,28,18,24,15,0.12857142857142856,0.38571428571428573,0.4,0.2571428571428571,0.34285714285714286,0.21428571428571427,0.21428571428571427,0.2714285714285714,0.12857142857142856,0.37142857142857144,0.014285714285714285,0
2025,00-0034775,53,7.019230769230769,8,27,21,11,20,7,0.1509433962264151,0.5094339622641509,0.39622641509433965,0.20754716981132076,0.37735849056603776,0.1320754716981132,0.1320754716981132,0.11320754716981132,0.33962264150943394,0.32075471698113206,0.09433962264150944,0
2025,00-0034791,20,0.75,0,17,9,5,6,2,0,0.85,0.45,0.25,0.3,0.1,0,0.25,0.05,0.35,0.35,0
2025,00-0034798,6,4,0,4,1,2,3,0,0,0.6666666666666666,0.16666666666666666,0.3333333333333333,0.5,0,0,0.5,0,0.5,0,0
2025,00-0034827,85,11.623529411764705,33,26,28,20,37,11,0.38823529411764707,0.3058823529411765,0.32941176470588235,0.23529411764705882,0.43529411764705883,0.12941176470588237,0.23809523809523808,0.14285714285714285,0.2857142857142857,0.15476190476190477,0.17857142857142858,0
2025,00-0034829,43,9.952380952380953,9,11,17,9,16,8,0.20930232558139536,0.2558139534883721,0.3953488372093023,0.20930232558139536,0.37209302325581395,0.18604651162790697,0.32558139534883723,0.23255813953488372,0.16279069767441862,0.2558139534883721,0.023255813953488372,0
2025,00-0034837,36,12.583333333333334,12,4,16,5,15,2,0.3333333333333333,0.1111111111111111,0.4444444444444444,0.1388888888888889,0.4166666666666667,0.05555555555555555,0.3055555555555556,0.1388888888888889,0.2222222222222222,0.2777777777777778,0.05555555555555555,0
2025,00-0034844,51,0.62,3,44,26,6,18,8,0.058823529411764705,0.8627450980392157,0.5098039215686274,0.11764705882352941,0.35294117647058826,0.1568627450980392,0.058823529411764705,0.17647058823529413,0.058823529411764705,0.39215686274509803,0.3137254901960784,0
2025,00-0034854,10,15,5,1,4,3,3,0,0.5,0.1,0.4,0.3,0.3,0,0.4,0.1,0.2,0.3,0,0
2025,00-0034860,11,9.545454545454545,4,6,5,2,4,0,0.36363636363636365,0.5454545454545454,0.45454545454545453,0.18181818181818182,0.36363636363636365,0,0.18181818181818182,0,0.2727272727272727,0.09090909090909091,0.45454545454545453,0
2025,00-0034867,1,-5,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
2025,00-0034928,1,2,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0
2025,00-0034959,9,4.222222222222222,0,7,4,1,4,2,0,0.7777777777777778,0.4444444444444444,0.1111111111111111,0.4444444444444444,0.2222222222222222,0.2222222222222222,0.1111111111111111,0,0.6666666666666666,0,0
2025,00-0034960,110,9.163636363636364,22,26,38,27,45,15,0.2,0.23636363636363636,0.34545454545454546,0.24545454545454545,0.4090909090909091,0.13636363636363635,0.14678899082568808,0.22018348623853212,0.28440366972477066,0.29357798165137616,0.05504587155963303,0
2025,00-0034975,27,-0.2222222222222222,0,24,10,7,10,1,0,0.8888888888888888,0.37037037037037035,0.25925925925925924,0.37037037037037035,0.037037037037037035,0.07407407407407407,0.2222222222222222,0.14814814814814814,0.2222222222222222,0.3333333333333333,0
2025,00-0034981,10,1,0,8,2,2,6,1,0,0.8,0.2,0.2,0.6,0.1,0,0.2,0,0.7,0.1,0
2025,00-0034983,26,7.461538461538462,5,10,12,5,9,6,0.19230769230769232,0.38461538461538464,0.46153846153846156,0.19230769230769232,0.34615384615384615,0.23076923076923078,0.2692307692307692,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.038461538461538464,0
