season,player_id,rec_context_targets,rec_avg_depth_target,rec_deep_targets,rec_short_targets,rec_left_targets,rec_middle_targets,rec_right_targets,rec_redzone_targets,rec_deep_target_rate,rec_short_target_rate,rec_left_target_rate,rec_middle_target_rate,rec_right_target_rate,rec_redzone_target_rate,rec_route_in_break,rec_route_other,rec_route_screen,rec_route_vertical,rec_route_out_break,rec_route_hitch
2019,00-0032602,43,0.09523809523809523,1,36,18,9,15,3,0.023255813953488372,0.8372093023255814,0.4186046511627907,0.20930232558139536,0.3488372093023256,0.06976744186046512,0.047619047619047616,0.7857142857142857,0.14285714285714285,0.023809523809523808,0,0
2019,00-0032626,56,7.654545454545454,14,24,26,14,15,10,0.25,0.42857142857142855,0.4642857142857143,0.25,0.26785714285714285,0.17857142857142858,0.01818181818181818,0.7454545454545455,0.07272727272727272,0.16363636363636364,0,0
2019,00-0032661,11,10.090909090909092,3,4,2,4,5,1,0.2727272727272727,0.36363636363636365,0.18181818181818182,0.36363636363636365,0.45454545454545453,0.09090909090909091,0.09090909090909091,0.6363636363636364,0,0.2727272727272727,0,0
2019,00-0032688,97,15.041666666666666,46,19,40,17,39,6,0.4742268041237113,0.1958762886597938,0.41237113402061853,0.17525773195876287,0.4020618556701031,0.061855670103092786,0.052083333333333336,0.5104166666666666,0.041666666666666664,0.3958333333333333,0,0
2019,00-0032728,10,12.4,4,1,2,6,2,2,0.4,0.1,0.2,0.6,0.2,0.2,0,0.7,0,0.3,0,0
2019,00-0032741,24,1.25,0,19,10,3,11,2,0,0.7916666666666666,0.4166666666666667,0.125,0.4583333333333333,0.08333333333333333,0,0.7916666666666666,0.20833333333333334,0,0,0
2019,00-0032764,24,-1.875,0,22,12,6,6,1,0,0.9166666666666666,0.5,0.25,0.25,0.041666666666666664,0,0.6666666666666666,0.3333333333333333,0,0,0
2019,00-0032765,185,8.091891891891892,32,60,81,43,61,26,0.17297297297297298,0.32432432432432434,0.43783783783783786,0.23243243243243245,0.32972972972972975,0.14054054054054055,0.1783783783783784,0.6270270270270271,0.043243243243243246,0.15135135135135136,0,0
2019,00-0032775,55,13.309090909090909,18,9,27,9,19,6,0.32727272727272727,0.16363636363636364,0.4909090909090909,0.16363636363636364,0.34545454545454546,0.10909090909090909,0.10909090909090909,0.5636363636363636,0.03636363636363636,0.2909090909090909,0,0
2019,00-0032778,35,14.228571428571428,11,5,14,8,13,4,0.3142857142857143,0.14285714285714285,0.4,0.22857142857142856,0.37142857142857144,0.11428571428571428,0.02857142857142857,0.6857142857142857,0,0.2857142857142857,0,0
