season,player_id,team,qb_dropbacks,qb_attempts,qb_deep_attempts,qb_left_attempts,qb_middle_attempts,qb_right_attempts,qb_redzone_dropbacks,qb_avg_air_yards,qb_deep_throw_rate,qb_left_throw_rate,qb_middle_throw_rate,qb_right_throw_rate,qb_redzone_throw_rate,qb_target_pos_RB,qb_target_pos_TE,qb_target_pos_WR,qb_target_pos_OTHER,qb_route_in_break,qb_route_other,qb_route_screen,qb_route_vertical,qb_route_out_break,qb_route_hitch
2021,00-0030565,SEA,108,108,17,36,22,36,12,6.989473684210527,0.1574074074074074,0.3333333333333333,0.2037037037037037,0.3333333333333333,0.1111111111111111,0.14772727272727273,0.14772727272727273,0.7045454545454546,0,0.045454545454545456,0.6363636363636364,0.13636363636363635,0.18181818181818182,0,0
2021,00-0030578,ATL,1,1,1,0,0,1,0,18,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
2021,00-0030669,MIA,2,2,0,0,0,1,1,5,0,0,0,0.5,0.5,0,0,1,0,0,1,0,0,0,0
2021,00-0031136,PIT,1,1,0,0,0,1,1,10,0,0,0,1,1,0,1,0,0,NA,NA,NA,NA,0,0
2021,00-0031237,DEN,460,460,78,163,85,178,71,8.03755868544601,0.16956521739130434,0.35434782608695653,0.18478260869565216,0.3869565217391304,0.15434782608695652,0.18627450980392157,0.27205882352941174,0.5416666666666666,0,0.06666666666666667,0.7308641975308642,0.06172839506172839,0.14074074074074075,0,0
2021,00-0031280,LV,669,669,134,241,131,251,96,8.121405750798722,0.20029895366218237,0.3602391629297459,0.19581464872944693,0.375186846038864,0.14349775784753363,0.24046434494195687,0.23217247097844113,0.527363184079602,0,0.04,0.6816666666666666,0.075,0.20333333333333334,0,0
2021,00-0031345,SF,472,472,81,143,159,136,61,7.496598639455782,0.1716101694915254,0.3029661016949153,0.336864406779661,0.288135593220339,0.1292372881355932,0.20093457943925233,0.22897196261682243,0.5677570093457944,0.002336448598130841,0.13176470588235295,0.6329411764705882,0.09647058823529411,0.1388235294117647,0,0
2021,00-0031382,CLE,1,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
2021,00-0031395,WAS,33,33,4,14,2,15,3,6.354838709677419,0.12121212121212122,0.42424242424242425,0.06060606060606061,0.45454545454545453,0.09090909090909091,0.23333333333333334,0.26666666666666666,0.5,0,0,0.8,0.06666666666666667,0.13333333333333333,0,0
2021,00-0031503,NO,172,172,33,62,33,66,24,8.322981366459627,0.19186046511627908,0.36046511627906974,0.19186046511627908,0.38372093023255816,0.13953488372093023,0.27450980392156865,0.20261437908496732,0.5228758169934641,0,0.058823529411764705,0.6535947712418301,0.11764705882352941,0.16993464052287582,0,0
2021,00-0031543,LAC,1,1,0,1,0,0,0,10,0,1,0,0,0,0,0,0,1,NA,NA,NA,NA,0,0
2021,00-0031588,BUF,1,1,0,0,0,0,1,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0
2021,00-0031800,WAS,535,535,105,147,118,226,62,7.680894308943089,0.19626168224299065,0.27476635514018694,0.2205607476635514,0.4224299065420561,0.11588785046728972,0.2422360248447205,0.18426501035196688,0.5714285714285714,0.002070393374741201,0.06680584551148225,0.6597077244258872,0.11899791231732777,0.1544885177453027,0,0
2021,00-0031941,NYJ,2,2,0,0,0,0,1,0,0,0,0,0,0.5,0,0,0,1,NA,NA,NA,NA,0,0
2021,00-0032156,NO,201,201,42,68,33,86,39,7.106951871657754,0.208955223880597,0.3383084577114428,0.16417910447761194,0.42786069651741293,0.19402985074626866,0.20670391061452514,0.2011173184357542,0.5921787709497207,0,0.045714285714285714,0.5828571428571429,0.12,0.25142857142857145,0,0
2021,00-0032245,MIN,38,38,5,12,13,11,1,6.472222222222222,0.13157894736842105,0.3157894736842105,0.34210526315789475,0.2894736842105263,0.02631578947368421,0.23529411764705882,0.2647058823529412,0.47058823529411764,0.029411764705882353,0.030303030303030304,0.6666666666666666,0.09090909090909091,0.21212121212121213,0,0
2021,00-0032268,LV,2,2,1,0,1,1,1,15.5,0.5,0,0.5,0.5,0.5,0,0.5,0.5,0,0,1,0,0,0,0
2021,00-0032434,CIN,39,39,5,15,3,15,8,5.2727272727272725,0.1282051282051282,0.38461538461538464,0.07692307692307693,0.38461538461538464,0.20512820512820512,0.20588235294117646,0.20588235294117646,0.5882352941176471,0,0.06060606060606061,0.6666666666666666,0.15151515151515152,0.12121212121212122,0,0
2021,00-0032496,TEN,1,1,0,0,1,0,0,4,0,0,1,0,0,0,0,0,1,NA,NA,NA,NA,0,0
2021,00-0032764,TEN,1,1,0,0,0,1,1,5,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0
2021,00-0032943,NYG,1,1,0,0,0,1,0,13,0,0,0,1,0,0,0,0,1,NA,NA,NA,NA,0,0
2021,00-0032950,IND,552,552,96,187,119,210,86,7.62984496124031,0.17391304347826086,0.338768115942029,0.21557971014492755,0.3804347826086957,0.15579710144927536,0.2275449101796407,0.20758483033932135,0.562874251497006,0.001996007984031936,0.056451612903225805,0.6733870967741935,0.0967741935483871,0.17338709677419356,0,0
2021,00-0033009,CIN,1,1,0,0,0,1,0,-4,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
2021,00-0033045,DAL,1,1,0,0,1,0,1,-4,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0
2021,00-0033077,DAL,631,631,112,240,114,242,112,7.766778523489933,0.1774960380348653,0.3803486529318542,0.18066561014263074,0.38351822503961963,0.1774960380348653,0.18274111675126903,0.20642978003384094,0.6091370558375635,0.001692047377326565,0.07692307692307693,0.6717948717948717,0.07863247863247863,0.17264957264957265,0,0
2021,00-0033106,DET,534,534,78,187,106,196,65,6.3983739837398375,0.14606741573033707,0.350187265917603,0.19850187265917604,0.36704119850187267,0.12172284644194757,0.2457627118644068,0.21822033898305085,0.5338983050847458,0.00211864406779661,0.03648068669527897,0.7188841201716738,0.09656652360515021,0.148068669527897,0,0
2021,00-0033119,MIA,245,245,38,73,58,93,24,7.568888888888889,0.15510204081632653,0.2979591836734694,0.23673469387755103,0.3795918367346939,0.09795918367346938,0.1834862385321101,0.28440366972477066,0.5321100917431193,0,0.08755760368663594,0.6912442396313364,0.06451612903225806,0.15668202764976957,0,0
2021,00-0033275,CAR,74,74,20,20,18,27,11,9.138461538461538,0.2702702702702703,0.2702702702702703,0.24324324324324326,0.36486486486486486,0.14864864864864866,0.25757575757575757,0.07575757575757576,0.6666666666666666,0,0.07692307692307693,0.6461538461538462,0.07692307692307693,0.2,0,0
2021,00-0033307,NE,1,1,1,0,0,1,0,22,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
2021,00-0033319,CLE,30,30,6,11,1,17,3,7.1,0.2,0.36666666666666664,0.03333333333333333,0.5666666666666667,0.1,0.3103448275862069,0.2413793103448276,0.4482758620689655,0,0.06896551724137931,0.6896551724137931,0.10344827586206896,0.13793103448275862,0,0
