season,player_id,rec_context_targets,rec_avg_depth_target,rec_deep_targets,rec_short_targets,rec_left_targets,rec_middle_targets,rec_right_targets,rec_redzone_targets,rec_deep_target_rate,rec_short_target_rate,rec_left_target_rate,rec_middle_target_rate,rec_right_target_rate,rec_redzone_target_rate,rec_route_vertical,rec_route_other,rec_route_screen,rec_route_in_break,rec_route_out_break,rec_route_hitch
2022,00-0034975,12,-2.0833333333333335,0,12,4,2,6,0,0,1,0.3333333333333333,0.16666666666666666,0.5,0,0,0.8333333333333334,0.16666666666666666,0,0,0
2022,00-0034981,54,8.351851851851851,13,21,6,20,28,5,0.24074074074074073,0.3888888888888889,0.1111111111111111,0.37037037037037035,0.5185185185185185,0.09259259259259259,0.24074074074074073,0.6481481481481481,0.09259259259259259,0.018518518518518517,0,0
2022,00-0034983,51,6.78,5,25,16,20,14,6,0.09803921568627451,0.49019607843137253,0.3137254901960784,0.39215686274509803,0.27450980392156865,0.11764705882352941,0.06,0.8,0.08,0.06,0,0
2022,00-0035021,22,11.454545454545455,6,6,8,7,7,4,0.2727272727272727,0.2727272727272727,0.36363636363636365,0.3181818181818182,0.3181818181818182,0.18181818181818182,0.22727272727272727,0.6363636363636364,0,0.13636363636363635,0,0
2022,00-0035022,5,7.75,1,2,3,1,0,1,0.2,0.4,0.6,0.2,0,0.2,0,0.5,0.25,0.25,0,0
2022,00-0035099,1,-4,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
2022,00-0035125,23,2.347826086956522,2,19,14,2,7,2,0.08695652173913043,0.8260869565217391,0.6086956521739131,0.08695652173913043,0.30434782608695654,0.08695652173913043,0.08695652173913043,0.9130434782608695,0,0,0,0
2022,00-0035140,34,8.088235294117647,10,17,16,5,13,10,0.29411764705882354,0.5,0.47058823529411764,0.14705882352941177,0.38235294117647056,0.29411764705882354,0.17647058823529413,0.6470588235294118,0.14705882352941177,0.029411764705882353,0,0
2022,00-0035184,1,-4,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
2022,00-0035208,61,11.770491803278688,22,15,22,20,19,6,0.36065573770491804,0.2459016393442623,0.36065573770491804,0.32786885245901637,0.3114754098360656,0.09836065573770492,0.26229508196721313,0.6229508196721312,0.04918032786885246,0.06557377049180328,0,0
2022,00-0035215,2,2.5,0,1,0,0,2,0,0,0.5,0,0,1,0,0,0.5,0.5,0,0,0
2022,00-0035216,149,10.197278911564625,34,38,64,24,59,20,0.22818791946308725,0.2550335570469799,0.42953020134228187,0.1610738255033557,0.3959731543624161,0.1342281879194631,0.23809523809523808,0.6326530612244898,0.034013605442176874,0.09523809523809523,0,0
2022,00-0035217,2,-0.5,0,2,0,0,2,0,0,1,0,0,1,0,0,1,0,0,0,0
2022,00-0035222,23,2.782608695652174,2,16,9,6,8,2,0.08695652173913043,0.6956521739130435,0.391304347826087,0.2608695652173913,0.34782608695652173,0.08695652173913043,0.043478260869565216,0.8260869565217391,0.13043478260869565,0,0,0
2022,00-0035229,131,7.604651162790698,25,45,43,37,49,22,0.19083969465648856,0.3435114503816794,0.3282442748091603,0.2824427480916031,0.37404580152671757,0.16793893129770993,0.17829457364341086,0.6976744186046512,0.06201550387596899,0.06201550387596899,0,0
2022,00-0035243,26,0.8846153846153846,1,25,13,3,10,0,0.038461538461538464,0.9615384615384616,0.5,0.11538461538461539,0.38461538461538464,0,0.07692307692307693,0.8461538461538461,0.07692307692307693,0,0,0
2022,00-0035249,25,8.52,5,12,3,10,12,10,0.2,0.48,0.12,0.4,0.48,0.4,0.2,0.76,0,0.04,0,0
2022,00-0035250,52,0.15384615384615385,0,49,18,16,18,8,0,0.9423076923076923,0.34615384615384615,0.3076923076923077,0.34615384615384615,0.15384615384615385,0,0.9230769230769231,0.07692307692307693,0,0,0
2022,00-0035259,5,5.75,0,2,0,0,4,3,0,0.4,0,0,0.8,0.6,0,1,0,0,0,0
2022,00-0035261,55,1.3636363636363635,3,49,21,8,26,9,0.05454545454545454,0.8909090909090909,0.38181818181818183,0.14545454545454545,0.4727272727272727,0.16363636363636364,0.05454545454545454,0.8545454545454545,0.07272727272727272,0.01818181818181818,0,0
2022,00-0035291,3,6.666666666666667,1,1,0,2,1,0,0.3333333333333333,0.3333333333333333,0,0.6666666666666666,0.3333333333333333,0,0,1,0,0,0,0
2022,00-0035298,40,12.8,13,11,18,11,11,5,0.325,0.275,0.45,0.275,0.275,0.125,0.3,0.5,0.025,0.175,0,0
2022,00-0035308,1,-1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
2022,00-0035311,6,2.8333333333333335,0,4,2,0,4,3,0,0.6666666666666666,0.3333333333333333,0,0.6666666666666666,0.5,0,1,0,0,0,0
2022,00-0035329,12,10.333333333333334,4,4,5,2,5,2,0.3333333333333333,0.3333333333333333,0.4166666666666667,0.16666666666666666,0.4166666666666667,0.16666666666666666,0.16666666666666666,0.75,0,0.08333333333333333,0,0
2022,00-0035341,23,11.26086956521739,8,5,5,7,11,5,0.34782608695652173,0.21739130434782608,0.21739130434782608,0.30434782608695654,0.4782608695652174,0.21739130434782608,0.2608695652173913,0.6521739130434783,0.043478260869565216,0.043478260869565216,0,0
2022,00-0035345,8,2.875,0,6,3,2,3,2,0,0.75,0.375,0.25,0.375,0.25,0,1,0,0,0,0
2022,00-0035359,17,7.823529411764706,3,7,3,5,9,2,0.17647058823529413,0.4117647058823529,0.17647058823529413,0.29411764705882354,0.5294117647058824,0.11764705882352941,0,1,0,0,0,0
2022,00-0035399,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0
2022,00-0035406,4,6.75,0,1,1,1,2,0,0,0.25,0.25,0.25,0.5,0,0.25,0.5,0.25,0,0,0
2022,00-0035414,4,28.75,3,0,1,2,1,0,0.75,0,0.25,0.5,0.25,0,0.75,0.25,0,0,0,0
2022,00-0035432,2,12,1,0,1,0,1,0,0.5,0,0.5,0,0.5,0,0.5,0.5,0,0,0,0
2022,00-0035457,1,-2,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
2022,00-0035500,64,4.9375,8,39,27,11,26,7,0.125,0.609375,0.421875,0.171875,0.40625,0.109375,0.078125,0.625,0.203125,0.09375,0,0
2022,00-0035510,11,13.090909090909092,3,2,4,1,6,1,0.2727272727272727,0.18181818181818182,0.36363636363636365,0.09090909090909091,0.5454545454545454,0.09090909090909091,0.3,0.6,0.1,0,0,0
2022,00-0035527,5,14,2,0,1,1,3,0,0.4,0,0.2,0.2,0.6,0,0.4,0.6,0,0,0,0
2022,00-0035535,71,12.450704225352112,23,15,23,12,36,3,0.323943661971831,0.2112676056338028,0.323943661971831,0.16901408450704225,0.5070422535211268,0.04225352112676056,0.15492957746478872,0.7746478873239436,0.014084507042253521,0.056338028169014086,0,0
2022,00-0035537,24,2,1,21,11,3,10,0,0.041666666666666664,0.875,0.4583333333333333,0.125,0.4166666666666667,0,0.041666666666666664,0.875,0.041666666666666664,0.041666666666666664,0,0
