player_id,player_name,position,draft_year_24,age_at_draft_24,early_declare_heuristic_24,combine_height_in_24,combine_weight_24,combine_forty_24,combine_vertical_24,combine_broad_24,combine_cone_24,combine_shuttle_24,combine_speed_score_24,combine_bmi_24,combine_athleticism_z_24,draft_round_24,draft_overall_24,draft_capital_log_24,college_seasons_24,college_games_24,college_starts_24,college_career_pass_att_24,college_career_pass_yd_24,college_career_pass_td_24,college_career_int_24,college_career_rush_att_24,college_career_rush_yd_24,college_career_rush_td_24,college_career_rec_24,college_career_rec_yd_24,college_career_rec_td_24,college_final_pass_att_24,college_final_pass_yd_24,college_final_pass_td_24,college_final_int_24,college_final_rush_att_24,college_final_rush_yd_24,college_final_rush_td_24,college_final_rec_24,college_final_rec_yd_24,college_final_rec_td_24,college_final_pass_share_24,college_final_rush_share_24,college_final_rec_yd_share_24,college_peak_pass_share_24,college_peak_rush_share_24,college_peak_rec_yd_share_24,college_final_ypa_24,college_final_ypc_24,college_final_ypr_24,college_breakout_age_24,college_production_score_z_24,combine_missing_24,college_missing_24,games,fantasy_points,rookie_fppg_24
00-0034423,Danny Etling,QB,2018,24.112251882272417,0,74,222,4.76,30.5,114,7.09,4.37,86.48786157230727,28.5,0.22641743632554553,7,219,-5.393627546352361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0
00-0036857,Chris Evans,RB,2021,23.906913073237508,0,71,211,4.5,40.5,127,6.83,4.12,102.91114159426917,29.42531243800833,0.9886672084815975,6,202,-5.313205979041787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,9,42.3,4.699999999999999
00-0036297,Darrynton Evans,RB,2020,22.1492128678987,0,70,203,4.41,37,125,NA,NA,107.34249257173711,29.124285714285715,0.6381461009640481,3,93,-4.543294782270004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,5,15.100000000000001,3.0200000000000005
00-0031408,Mike Evans,WR,2014,21.02943189596167,1,77,231,4.53,37,NA,7.08,4.26,109.71074583971219,27.38961038961039,-0.09269197671325378,1,7,-2.0794415416798357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,15,211.10000000000002,14.073333333333334
00-0040187,Mitchell Evans,TE,2025,22.29158110882957,0,77,258,4.74,31,115,7.25,4.4,102.22010787298443,30.590993422162253,-0.5280717981143523,5,163,-5.099866427824199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,14,38.7,2.7642857142857147
00-0031056,Shaq Evans,WR,2014,23.488021902806295,0,73,213,4.51,34.5,122,7.07,4.21,102.9682736740723,28.098892850440983,-0.3176629075556213,4,115,-4.7535901911063645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0
00-0039136,Zach Evans,RB,2023,22.255989048596852,0,71,202,NA,NA,NA,NA,NA,NA,28.170204324538783,NA,6,215,-5.375278407684165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,4,1.9000000000000001,0.47500000000000003
00-0033895,Gerald Everett,TE,2017,23.186858316221766,0,75,239,4.62,37.5,126,6.99,4.33,104.920413711527,29.869688888888888,0.1352486242043757,2,44,-3.8066624897703196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,14,45.7,3.2642857142857147
00-0040234,Quinn Ewers,QB,2025,22.466803559206024,0,74,214,NA,NA,NA,NA,NA,NA,27.472972972972972,NA,7,231,-5.44673737166631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,4,32.67999999999999,8.169999999999998
00-0038092,Erik Ezukanma,WR,2022,22.600958247775495,0,74,209,NA,36.5,126,NA,4.38,NA,26.83108108108108,0.058846705544460816,4,125,-4.836281906951478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,0.8,0.8
