season,week,player_id,xfp_24,fpoe_24,xfp_roll3_24,xfp_roll5_24,fpoe_roll3_24,fpoe_roll5_24
2020,17,00-0023459,NA,NA,NA,NA,NA,NA
2020,19,00-0023459,NA,NA,NA,NA,NA,NA
2020,20,00-0023459,NA,NA,NA,NA,NA,NA
2021,1,00-0023459,NA,NA,NA,NA,NA,NA
2021,2,00-0023459,NA,NA,NA,NA,NA,NA
2021,3,00-0023459,NA,NA,NA,NA,NA,NA
2021,4,00-0023459,NA,NA,NA,NA,NA,NA
2021,5,00-0023459,NA,NA,NA,NA,NA,NA
2021,6,00-0023459,NA,NA,NA,NA,NA,NA
2021,7,00-0023459,NA,NA,NA,NA,NA,NA
2021,8,00-0023459,NA,NA,NA,NA,NA,NA
2021,10,00-0023459,NA,NA,NA,NA,NA,NA
2021,11,00-0023459,NA,NA,NA,NA,NA,NA
2021,12,00-0023459,NA,NA,NA,NA,NA,NA
2021,14,00-0023459,NA,NA,NA,NA,NA,NA
2021,15,00-0023459,NA,NA,NA,NA,NA,NA
2021,16,00-0023459,NA,NA,NA,NA,NA,NA
2021,17,00-0023459,NA,NA,NA,NA,NA,NA
2021,18,00-0023459,NA,NA,NA,NA,NA,NA
2021,20,00-0023459,NA,NA,NA,NA,NA,NA
2022,1,00-0023459,NA,NA,NA,NA,NA,NA
2022,2,00-0023459,NA,NA,NA,NA,NA,NA
2022,3,00-0023459,NA,NA,NA,NA,NA,NA
2022,4,00-0023459,NA,NA,NA,NA,NA,NA
2022,5,00-0023459,NA,NA,NA,NA,NA,NA
2022,6,00-0023459,NA,NA,NA,NA,NA,NA
2022,7,00-0023459,NA,NA,NA,NA,NA,NA
2022,8,00-0023459,NA,NA,NA,NA,NA,NA
2022,9,00-0023459,NA,NA,NA,NA,NA,NA
2022,10,00-0023459,NA,NA,NA,NA,NA,NA
2022,11,00-0023459,NA,NA,NA,NA,NA,NA
2022,12,00-0023459,NA,NA,NA,NA,NA,NA
2022,13,00-0023459,NA,NA,NA,NA,NA,NA
2022,15,00-0023459,NA,NA,NA,NA,NA,NA
2022,16,00-0023459,NA,NA,NA,NA,NA,NA
2022,17,00-0023459,NA,NA,NA,NA,NA,NA
2022,18,00-0023459,NA,NA,NA,NA,NA,NA
2023,1,00-0023459,NA,NA,NA,NA,NA,NA
2024,1,00-0023459,NA,NA,NA,NA,NA,NA
2024,2,00-0023459,NA,NA,NA,NA,NA,NA
2024,3,00-0023459,NA,NA,NA,NA,NA,NA
2024,4,00-0023459,NA,NA,NA,NA,NA,NA
2024,5,00-0023459,NA,NA,NA,NA,NA,NA
2024,6,00-0023459,NA,NA,NA,NA,NA,NA
2024,7,00-0023459,NA,NA,NA,NA,NA,NA
2024,8,00-0023459,NA,NA,NA,NA,NA,NA
2024,9,00-0023459,NA,NA,NA,NA,NA,NA
2024,10,00-0023459,NA,NA,NA,NA,NA,NA
2024,11,00-0023459,NA,NA,NA,NA,NA,NA
2024,13,00-0023459,NA,NA,NA,NA,NA,NA
2024,14,00-0023459,NA,NA,NA,NA,NA,NA
2024,15,00-0023459,NA,NA,NA,NA,NA,NA
2024,16,00-0023459,NA,NA,NA,NA,NA,NA
2024,17,00-0023459,NA,NA,NA,NA,NA,NA
2024,18,00-0023459,NA,NA,NA,NA,NA,NA
2025,1,00-0023459,12.697999999999999,12.961999999999998,NA,NA,NA,NA
2025,2,00-0023459,15.7272,-3.307199999999998,12.697999999999999,12.697999999999999,12.961999999999998,12.961999999999998
2025,3,00-0023459,10.4498,3.2102000000000004,14.212599999999998,14.212599999999998,4.8274,4.8274
2025,4,00-0023459,10.5302,2.2698,12.958333333333332,12.958333333333332,4.288333333333333,4.288333333333333
2025,6,00-0023459,13.426000000000002,4.073999999999998,12.235733333333334,12.3513,0.7242666666666674,3.7837
2025,7,00-0023459,20.0212,6.538800000000002,11.468666666666667,12.56624,3.1846666666666663,3.84176
2025,8,00-0023459,15.012799999999999,1.7471999999999994,14.659133333333335,14.03088,4.2942,2.5571200000000003
2025,9,00-0023459,24.967399999999998,-12.847399999999997,16.153333333333332,13.888,4.12,3.568
2025,10,00-0023459,13.012,-2.571999999999999,20.000466666666664,16.79152,-1.520466666666665,0.3564800000000005
2025,11,00-0023459,7.2028,2.2372000000000014,17.664066666666667,17.28788,-4.557399999999999,-0.6118799999999993
2025,13,00-0023459,10.049199999999999,-5.369199999999999,15.060733333333333,16.04324,-4.394066666666665,-0.9792399999999987
2025,14,00-0023459,25.095,-4.134999999999998,10.088,14.048839999999998,-1.9013333333333324,-3.3608399999999987
2025,15,00-0023459,10.6912,6.268800000000001,14.115666666666666,16.065279999999998,-2.422333333333332,-4.537279999999998
2025,16,00-0023459,22.065800000000003,-6.525800000000002,15.278466666666667,13.21004,-1.0784666666666656,-0.7140399999999989
2025,17,00-0023459,15.0316,-7.711599999999999,19.284,15.0208,-1.4639999999999997,-1.5047999999999995
2025,18,00-0023459,21.729800000000004,-3.9698000000000064,15.929533333333334,16.58656,-2.6562,-3.4945599999999994
2025,19,00-0023459,13.169599999999999,-7.329599999999999,19.60906666666667,18.92268,-6.069066666666669,-3.214680000000001
2020,1,00-0023500,NA,NA,NA,NA,NA,NA
2020,2,00-0023500,NA,NA,NA,NA,NA,NA
2020,3,00-0023500,NA,NA,NA,NA,NA,NA
2020,4,00-0023500,NA,NA,NA,NA,NA,NA
2020,5,00-0023500,NA,NA,NA,NA,NA,NA
2020,6,00-0023500,NA,NA,NA,NA,NA,NA
2020,7,00-0023500,NA,NA,NA,NA,NA,NA
2020,8,00-0023500,NA,NA,NA,NA,NA,NA
2020,9,00-0023500,NA,NA,NA,NA,NA,NA
2020,11,00-0023500,NA,NA,NA,NA,NA,NA
2020,12,00-0023500,NA,NA,NA,NA,NA,NA
2020,13,00-0023500,NA,NA,NA,NA,NA,NA
2020,14,00-0023500,NA,NA,NA,NA,NA,NA
2020,15,00-0023500,NA,NA,NA,NA,NA,NA
2020,16,00-0023500,NA,NA,NA,NA,NA,NA
2020,1,00-0023682,NA,NA,NA,NA,NA,NA
2020,2,00-0023682,NA,NA,NA,NA,NA,NA
2020,3,00-0023682,NA,NA,NA,NA,NA,NA
2020,4,00-0023682,NA,NA,NA,NA,NA,NA
2020,5,00-0023682,NA,NA,NA,NA,NA,NA
2020,6,00-0023682,NA,NA,NA,NA,NA,NA
2020,11,00-0023682,NA,NA,NA,NA,NA,NA
2020,12,00-0023682,NA,NA,NA,NA,NA,NA
2020,16,00-0023682,NA,NA,NA,NA,NA,NA
2021,1,00-0023682,NA,NA,NA,NA,NA,NA
2020,2,00-0024243,NA,NA,NA,NA,NA,NA
2020,3,00-0024243,NA,NA,NA,NA,NA,NA
2020,6,00-0024243,NA,NA,NA,NA,NA,NA
2020,7,00-0024243,NA,NA,NA,NA,NA,NA
2020,9,00-0024243,NA,NA,NA,NA,NA,NA
2020,11,00-0024243,NA,NA,NA,NA,NA,NA
2020,12,00-0024243,NA,NA,NA,NA,NA,NA
2020,13,00-0024243,NA,NA,NA,NA,NA,NA
2020,14,00-0024243,NA,NA,NA,NA,NA,NA
2020,17,00-0024243,NA,NA,NA,NA,NA,NA
2020,20,00-0024243,NA,NA,NA,NA,NA,NA
2021,1,00-0024243,NA,NA,NA,NA,NA,NA
2021,4,00-0024243,NA,NA,NA,NA,NA,NA
2021,5,00-0024243,NA,NA,NA,NA,NA,NA
2021,6,00-0024243,NA,NA,NA,NA,NA,NA
2021,7,00-0024243,NA,NA,NA,NA,NA,NA
2021,8,00-0024243,NA,NA,NA,NA,NA,NA
2021,9,00-0024243,NA,NA,NA,NA,NA,NA
2021,10,00-0024243,NA,NA,NA,NA,NA,NA
2021,12,00-0024243,NA,NA,NA,NA,NA,NA
2021,14,00-0024243,NA,NA,NA,NA,NA,NA
2021,15,00-0024243,NA,NA,NA,NA,NA,NA
2021,16,00-0024243,NA,NA,NA,NA,NA,NA
2021,18,00-0024243,NA,NA,NA,NA,NA,NA
2021,20,00-0024243,NA,NA,NA,NA,NA,NA
2022,5,00-0024243,NA,NA,NA,NA,NA,NA
2022,9,00-0024243,NA,NA,NA,NA,NA,NA
2022,10,00-0024243,NA,NA,NA,NA,NA,NA
2022,13,00-0024243,NA,NA,NA,NA,NA,NA
2022,15,00-0024243,NA,NA,NA,NA,NA,NA
2022,16,00-0024243,NA,NA,NA,NA,NA,NA
2023,4,00-0024243,NA,NA,NA,NA,NA,NA
2023,7,00-0024243,NA,NA,NA,NA,NA,NA
2023,11,00-0024243,NA,NA,NA,NA,NA,NA
2023,14,00-0024243,NA,NA,NA,NA,NA,NA
2023,16,00-0024243,NA,NA,NA,NA,NA,NA
2024,6,00-0024243,NA,NA,NA,NA,NA,NA
2020,4,00-0024417,NA,NA,NA,NA,NA,NA
2021,18,00-0024417,NA,NA,NA,NA,NA,NA
2020,1,00-0025394,NA,NA,NA,NA,NA,NA
2020,2,00-0025394,NA,NA,NA,NA,NA,NA
2020,3,00-0025394,NA,NA,NA,NA,NA,NA
2020,4,00-0025394,NA,NA,NA,NA,NA,NA
2020,6,00-0025394,NA,NA,NA,NA,NA,NA
2020,7,00-0025394,NA,NA,NA,NA,NA,NA
2020,8,00-0025394,NA,NA,NA,NA,NA,NA
2020,9,00-0025394,NA,NA,NA,NA,NA,NA
2020,10,00-0025394,NA,NA,NA,NA,NA,NA
2020,11,00-0025394,NA,NA,NA,NA,NA,NA
2020,12,00-0025394,NA,NA,NA,NA,NA,NA
2020,13,00-0025394,NA,NA,NA,NA,NA,NA
2020,14,00-0025394,NA,NA,NA,NA,NA,NA
2020,15,00-0025394,NA,NA,NA,NA,NA,NA
2020,16,00-0025394,NA,NA,NA,NA,NA,NA
2020,17,00-0025394,NA,NA,NA,NA,NA,NA
2021,9,00-0025394,NA,NA,NA,NA,NA,NA
2021,10,00-0025394,NA,NA,NA,NA,NA,NA
2021,11,00-0025394,NA,NA,NA,NA,NA,NA
2021,13,00-0025394,NA,NA,NA,NA,NA,NA
2020,1,00-0025396,NA,NA,NA,NA,NA,NA
2020,3,00-0025396,NA,NA,NA,NA,NA,NA
2020,4,00-0025396,NA,NA,NA,NA,NA,NA
2020,1,00-0025418,NA,NA,NA,NA,NA,NA
2020,2,00-0025418,NA,NA,NA,NA,NA,NA
2020,3,00-0025418,NA,NA,NA,NA,NA,NA
2020,4,00-0025418,NA,NA,NA,NA,NA,NA
2020,5,00-0025418,NA,NA,NA,NA,NA,NA
2020,7,00-0025418,NA,NA,NA,NA,NA,NA
2020,8,00-0025418,NA,NA,NA,NA,NA,NA
2020,9,00-0025418,NA,NA,NA,NA,NA,NA
2020,10,00-0025418,NA,NA,NA,NA,NA,NA
2020,11,00-0025418,NA,NA,NA,NA,NA,NA
2020,16,00-0025418,NA,NA,NA,NA,NA,NA
2020,19,00-0025580,NA,NA,NA,NA,NA,NA
2020,7,00-0025825,NA,NA,NA,NA,NA,NA
