season,week,defense,position,def_pos_residual,def_pos_fppg_allowed
2024,10,LA,RB,-6.716882301726704,4.133333333333334
2024,10,LA,TE,-1.492953997112504,2.3666666666666667
2024,10,LA,WR,1.7993098289673086,7.5
2024,10,LAC,QB,9.75888438776894,19.1
2024,10,LAC,RB,-2.358242287075411,4.966666666666667
2024,10,LAC,TE,-3.419759198058367,0.9500000000000001
2024,10,LAC,WR,2.154518531374835,7.699999999999999
2024,10,MIA,QB,-5.309678569977807,9.72
2024,10,MIA,RB,-3.531209148151609,6.35
2024,10,MIA,TE,3.59089333288124,5.9
2024,10,MIA,WR,-2.415247105218552,4.814285714285714
2024,10,MIN,QB,-0.9306075955297572,7.24
2024,10,MIN,RB,-5.98064190084802,2.6000000000000005
2024,10,MIN,TE,-0.7636472705069228,4.366666666666667
2024,10,MIN,WR,-5.114619973470757,1.5333333333333334
2024,10,NE,QB,-9.551745579654323,6.3
2024,10,NE,RB,-4.56370175458967,2.533333333333333
2024,10,NE,TE,-7.547073541092014,2.3
2024,10,NE,WR,-2.4812531207606723,3.975
2024,10,NO,QB,-8.113274259721527,10.24
2024,10,NO,RB,3.1226634254775454,11.266666666666667
2024,10,NO,TE,-1.876258861977119,3.75
2024,10,NO,WR,1.6754855495617855,10.3
2024,10,NYG,QB,2.6421434245198157,12.04
2024,10,NYG,RB,2.908590524547454,8.466666666666667
2024,10,NYG,TE,0.06392357992807718,2.8666666666666667
2024,10,NYG,WR,-0.6595924612075756,4.633333333333334
2024,10,NYJ,QB,3.7555427918739577,14.32
2024,10,NYJ,RB,1.654567266062468,8.175
2024,10,NYJ,TE,-0.8564083790263224,5.700000000000001
2024,10,NYJ,WR,0.4547486593745025,6.066666666666667
2024,10,PHI,QB,-5.3630350897900865,1.27
2024,10,PHI,RB,-3.353141905360436,3.1
2024,10,PHI,TE,-1.8484588666414656,2.2
2024,10,PHI,WR,-4.677838658707717,1.84
2024,10,PIT,QB,-6.4004469355336315,8.58
2024,10,PIT,RB,2.8708223353966944,8.233333333333333
2024,10,PIT,TE,-1.9928559193803266,2.55
2024,10,PIT,WR,-1.1507196467055916,4.48
2024,10,SF,QB,-11.308889817668902,8.940000000000001
2024,10,SF,RB,1.469014137093452,10.733333333333333
2024,10,SF,TE,-9.65621069332617,6
2024,10,SF,WR,-2.0356566643651055,1.275
2024,10,TB,QB,3.314380622553948,23.82
2024,10,TB,RB,-5.299957277148944,4.733333333333333
2024,10,TB,TE,-2.124860664883222,6.6
2024,10,TB,WR,2.1964796388470207,7.640000000000001
2024,10,TEN,QB,0.8616939948034421,19.76
2024,10,TEN,RB,-0.5505516081373528,6.3
2024,10,TEN,TE,-1.7507807620580342,2.75
2024,10,TEN,WR,-2.0592666856627724,4.46
2024,10,WAS,QB,1.8569623225748515,18.1
2024,10,WAS,RB,-1.1633473897539817,7.733333333333333
2024,10,WAS,TE,0.27420119748139954,3.433333333333333
2024,10,WAS,WR,0.4616101120125863,6.14
2024,11,ATL,QB,10.390536794096661,28.78
2024,11,ATL,RB,2.2204710567048953,7.533333333333333
2024,11,ATL,TE,-0.056974378393016334,3.85
2024,11,ATL,WR,5.271244166219891,10.780000000000001
2024,11,BAL,QB,-14.616803555190526,3.9999999999999996
2024,11,BAL,RB,-1.8499462197302747,6.866666666666667
2024,11,BAL,TE,-0.6409117699396021,3.8000000000000003
2024,11,BAL,WR,-3.103552731772889,3.5500000000000003
2024,11,BUF,QB,-3.3449037090687668,15.84
2024,11,BUF,RB,-3.4715008154189864,3
2024,11,BUF,TE,-0.2118553658679314,6.566666666666667
2024,11,BUF,WR,-0.4598119916370222,5.44
2024,11,CHI,QB,8.386582630661223,20.240000000000002
2024,11,CHI,RB,0.13489035430710214,8.466666666666667
2024,11,CHI,TE,-8.97755811852602,0
2024,11,CHI,WR,-0.029508545742427783,7
2024,11,CIN,QB,6.2316939948034396,26.380000000000003
2024,11,CIN,RB,0.15154701213786761,7.066666666666667
2024,11,CIN,TE,5.728045964211159,8.55
2024,11,CIN,WR,-0.1321282603738013,6.58
2024,11,CLE,QB,-0.50828728044001,9.260000000000002
2024,11,CLE,RB,-3.5803526013378337,5.6
2024,11,CLE,TE,13.719586445395151,18.84
2024,11,CLE,WR,2.7992865740431387,6.466666666666667
2024,11,DAL,QB,-2.6408796275833257,10.879999999999999
2024,11,DAL,RB,4.4858604731347045,12.033333333333333
2024,11,DAL,TE,0.21123422473945896,4.15
2024,11,DAL,WR,-3.195490277490433,5.575
2024,11,DEN,QB,-11.705440493200843,2.94
2024,11,DEN,RB,-4.715118387909099,2.5500000000000003
2024,11,DEN,TE,-4.588594152777874,1.2
2024,11,DEN,WR,-2.4062717795299617,4.42
2024,11,DET,QB,-3.698710565276322,4.220000000000001
2024,11,DET,RB,-1.8735634096537526,2.5500000000000003
2024,11,DET,TE,-2.2034504372956376,1.8000000000000003
2024,11,DET,WR,-0.35297556888631443,3.3500000000000005
2024,11,GB,QB,5.973254420345679,16.240000000000002
2024,11,GB,RB,3.020087386986256,8.666666666666668
2024,11,GB,TE,-3.200144393521465,5.7
2024,11,GB,WR,0.6910834057368856,6.45
2024,11,HOU,QB,11.668489630128036,16.36
2024,11,HOU,RB,-2.5406520284143426,3.5
2024,11,HOU,TE,2.2910385073297657,5.466666666666667
2024,11,HOU,WR,1.8505746578883935,7.340000000000001
2024,11,IND,QB,2.724282016091216,16.06
2024,11,IND,RB,3.5455055254461487,9.4
2024,11,IND,TE,0.387491070241259,3.3
2024,11,IND,WR,-2.780184802006835,3.54
2024,11,JAX,QB,9.178318151255073,18.180000000000003
2024,11,JAX,RB,3.1443254591113607,11.200000000000001
2024,11,JAX,TE,2.633929318311401,4.85
2024,11,JAX,WR,6.903818632067389,12.620000000000001
2024,11,KC,QB,4.0268097296323795,23.98
2024,11,KC,RB,-1.2875406576972799,6.7
2024,11,KC,TE,-0.6033720718253742,2.3333333333333335
2024,11,KC,WR,2.193301205805291,8.875
2024,11,LA,QB,6.439456223013618,19.98
2024,11,LA,RB,-2.881183773084771,4.533333333333333
2024,11,LA,TE,1.136498939454661,4.933333333333334
2024,11,LA,WR,1.5662250127758046,5.74
2024,11,LAC,QB,6.130574014359649,29.040000000000003
2024,11,LAC,RB,-0.8007522661281132,8.4
2024,11,LAC,TE,-4.992556282485359,1.0999999999999999
2024,11,LAC,WR,2.1584162808797127,11.14
2024,11,LV,QB,9.105995555851017,23.52
2024,11,LV,RB,-3.8359433985811866,6.466666666666667
2024,11,LV,TE,7.143950005451471,9.9
2024,11,LV,WR,-0.3805027654335863,6.4750000000000005
2024,11,MIA,QB,9.936444597302966,17.98
2024,11,MIA,RB,1.2977534929100334,6.166666666666667
2024,11,MIA,TE,5.757233575014725,12.9
2024,11,MIA,WR,-1.5517542769383992,4.050000000000001
2024,11,MIN,QB,5.933419495809716,15.600000000000001
2024,11,MIN,RB,-5.209011399670454,1.9000000000000001
2024,11,MIN,TE,-1.50951302481067,1.7000000000000002
2024,11,MIN,WR,0.8288373290562933,6.940000000000001
2024,11,NE,QB,11.330321430022192,27.8
2024,11,NE,RB,-2.611476030539344,5.95
2024,11,NE,TE,5.8669732331989,8.4
2024,11,NE,WR,1.309217279802878,8.816666666666666
2024,11,NO,QB,4.228369726265798,13.3
2024,11,NO,RB,-1.1543036251064616,3.8000000000000003
2024,11,NO,TE,1.3328154374778058,8.5
2024,11,NO,WR,2.188579749200018,9.180000000000001
2024,11,NYJ,QB,17.909667973502106,30.080000000000002
2024,11,NYJ,RB,-3.4601396175097947,2.4333333333333336
2024,11,NYJ,TE,-0.5465626225539838,1.6333333333333333
2024,11,NYJ,WR,1.2693227529928968,7.38
2024,11,PHI,QB,-2.375446935533631,13.440000000000001
2024,11,PHI,RB,0.5449914681125718,9.466666666666667
2024,11,PHI,TE,5.590564779027218,9.2
2024,11,PHI,WR,-4.550731969711568,0.96
2024,11,PIT,QB,-9.973110106605617,14.879999999999999
2024,11,PIT,RB,-2.478093887297606,4.9
2024,11,PIT,TE,-1.1743827119916967,4.233333333333333
2024,11,PIT,WR,-4.547076846787208,3.24
2024,11,SEA,QB,-2.0756193774460527,18.36
2024,11,SEA,RB,-3.797975605519793,4.633333333333334
2024,11,SEA,TE,-0.7590736970758439,0.6000000000000001
2024,11,SEA,WR,-0.03837651663031183,6.050000000000001
2024,11,SF,QB,0.6061795168603812,15.74
2024,11,SF,RB,-1.922583780555864,4.8
2024,11,SF,TE,-1.453417043632835,1.25
2024,11,SF,WR,-0.5435969817355065,10.066666666666666
2024,11,TEN,QB,11.532118722403876,25.64
2024,11,TEN,RB,-0.7789334096488476,5.133333333333334
2024,11,TEN,TE,-3.447032870702583,3
2024,11,TEN,WR,-0.14561182015584212,5.720000000000001
2024,11,WAS,QB,-10.196142387607637,18.740000000000002
2024,11,WAS,RB,5.524591951152726,12.733333333333334
2024,11,WAS,TE,-0.866958058227314,4.300000000000001
2024,11,WAS,WR,-3.692849323088794,5.066666666666666
2024,12,ARI,QB,-2.2638204831396216,12.36
2024,12,ARI,RB,-1.4297044589236576,4.5
2024,12,ARI,TE,0.4049436100903797,3.1500000000000004
2024,12,ARI,WR,-1.9699536018871098,4.816666666666666
2024,12,BAL,QB,-3.1083060051965603,17.62
2024,12,BAL,RB,-2.2515627009202475,4.933333333333334
2024,12,BAL,TE,-0.03254524346550114,3.95
2024,12,BAL,WR,-2.0672883436595364,4.2
2024,12,CAR,QB,10.160096290931232,28.759999999999998
2024,12,CAR,RB,-0.8623412358810314,5.133333333333334
2024,12,CAR,TE,6.15601518665321,14.9
2024,12,CAR,WR,-1.4553565044539778,4.74
2024,12,CHI,QB,-1.1813028843359774,10.83
