season,team,team_pass_attempts_pg,team_carries_pg,team_pass_yd_pg,team_rush_yd_pg,team_points_proxy_pg,team_attempts_total,team_carries_total,prior_season,team_prior_pass_attempts_pg,team_prior_carries_pg,team_prior_pass_yd_pg,team_prior_rush_yd_pg,team_prior_points_pg,target_team_pass_attempts_pg,target_team_carries_pg,team_prior_pass_rate,team_prior_neutral_pass_rate,team_prior_plays_pg,team_prior_redzone_pass_rate,team_prior_redzone_rush_rate,team_prior_deep_throw_rate,team_prior_shotgun_rate,team_prior_no_huddle_rate,team_prior_avg_air_yards
2017,IND,30.4375,28.1875,201.625,103.8125,25.82125,487,451,2016,36.5,25.5625,280.6875,101.75,34.2775,30.4375,28.1875,0,0,0,0,0,0,0,0,0
2018,IND,40.25,25.5,287.1875,107.375,36.85,644,408,2017,30.4375,28.1875,201.625,103.8125,25.82125,40.25,25.5,0,0,0,0,0,0,0,0,0
2019,IND,32.0625,29.4375,207.125,133.125,33.4725,513,471,2018,40.25,25.5,287.1875,107.375,36.85,32.0625,29.4375,0.6381395348837209,0.5889724310776943,67.1875,0.6010928961748634,0.3989071038251366,0.18345864661654135,0.7218604651162791,0.1283720930232558,7.540372670807454
2020,IND,34.5,28.6875,261.625,124.75,36.44,552,459,2019,32.0625,29.4375,207.125,133.125,33.4725,34.5,28.6875,0.5701668302257115,0.47844827586206895,63.6875,0.5548780487804879,0.44512195121951215,0.19926873857404023,0.661432777232581,0.05691854759568204,8.04093567251462
2021,IND,30.647058823529413,29.352941176470587,211.05882352941177,149.41176470588235,37.501176470588234,521,499,2020,34.5,28.6875,261.625,124.75,36.44,30.647058823529413,29.352941176470587,0.5564127290260367,0.5460992907801419,64.8125,0.4810810810810811,0.518918918918919,0.18782608695652173,0.7232401157184185,0.1089681774349084,7.184782608695652
2022,IND,35.529411764705884,25.823529411764707,226.76470588235293,109.76470588235294,26.87058823529412,604,439,2021,30.647058823529413,29.352941176470587,211.05882352941177,149.41176470588235,37.501176470588234,35.529411764705884,25.823529411764707,0.5515610217596972,0.5277108433734939,62.1764705882353,0.4494949494949495,0.5505050505050505,0.17594254937163376,0.630085146641438,0.04541154210028382,7.677543186180422
2023,IND,33.76470588235294,28.176470588235293,228.35294117647058,121.11764705882354,32.18705882352941,574,479,2022,35.529411764705884,25.823529411764707,226.76470588235293,109.76470588235294,26.87058823529412,33.76470588235294,28.176470588235293,0.6227436823104693,0.5079726651480638,65.17647058823529,0.5286624203821656,0.4713375796178344,0.10479041916167664,0.7518050541516246,0.13898916967509026,6.352649006622516
2024,IND,30.176470588235293,29.176470588235293,211.7058823529412,137.11764705882354,33.94470588235294,513,496,2023,33.76470588235294,28.176470588235293,228.35294117647058,121.11764705882354,32.18705882352941,30.176470588235293,29.176470588235293,0.5896269335759782,0.5371549893842887,64.6470588235294,0.4860335195530726,0.5139664804469274,0.1774193548387097,0.8971792538671519,0.18016378525932664,7.412891986062718
2025,IND,32.1764705882353,26,240.2941176470588,118.05882352941177,36.82941176470588,547,442,2024,30.176470588235293,29.176470588235293,211.7058823529412,137.11764705882354,33.94470588235294,32.1764705882353,26,0.5458891013384322,0.4773218142548596,61.52941176470589,0.4293785310734463,0.5706214689265536,0.2742230347349177,0.8680688336520076,0.11281070745697896,10.590643274853802
2015,JAX,37.9375,22.125,276.75,92.0625,30.90125,607,354,2014,34.8125,22.5,215.6875,102.0625,25.958750000000002,37.9375,22.125,0,0,0,0,0,0,0,0,0
2016,JAX,39.125,24.5,245.3125,101.9375,29.00625,626,392,2015,37.9375,22.125,276.75,92.0625,30.90125,39.125,24.5,0,0,0,0,0,0,0,0,0
2017,JAX,32.9375,32.9375,232.25,141.375,35.4275,527,527,2016,39.125,24.5,245.3125,101.9375,29.00625,32.9375,32.9375,0,0,0,0,0,0,0,0,0
2018,JAX,33.5,26,214.4375,107.6875,25.72125,536,416,2017,32.9375,32.9375,232.25,141.375,35.4275,33.5,26,0,0,0,0,0,0,0,0,0
2019,JAX,36.8125,24.3125,251.4375,106.75,27.8575,589,389,2018,33.5,26,214.4375,107.6875,25.72125,36.8125,24.3125,0.6405163853028798,0.4672364672364672,62.9375,0.6,0.4,0.15905245346869712,0.6852035749751738,0.04667328699106256,7.0466417910447765
2020,JAX,38.5,21.0625,247.1875,94.9375,29.00625,616,337,2019,36.8125,24.3125,251.4375,106.75,27.8575,38.5,21.0625,0.6715257531584062,0.5441988950276243,64.3125,0.6038961038961039,0.39610389610389607,0.1674491392801252,0.6627793974732751,0.06511175898931001,7.589134125636672
2021,JAX,35.529411764705884,23.058823529411764,216.11764705882354,103.23529411764706,26.380000000000003,604,392,2020,38.5,21.0625,247.1875,94.9375,29.00625,35.529411764705884,23.058823529411764,0.6928429423459245,0.5181347150259067,62.875,0.7,0.30000000000000004,0.18263473053892215,0.6858846918489065,0.05964214711729622,7.899186991869919
2022,JAX,35.05882352941177,26.352941176470587,244,124.47058823529412,33.73647058823529,596,448,2021,35.529411764705884,23.058823529411764,216.11764705882354,103.23529411764706,26.380000000000003,35.05882352941177,26.352941176470587,0.6508704061895552,0.5203252032520326,60.8235294117647,0.5238095238095238,0.47619047619047616,0.17784711388455535,0.7040618955512572,0.109284332688588,7.902155887230514
2023,JAX,36.470588235294116,26.647058823529413,257.47058823529414,96.82352941176471,31.15764705882353,620,453,2022,35.05882352941177,26.352941176470587,244,124.47058823529412,33.73647058823529,36.470588235294116,26.647058823529413,0.6061167747914736,0.5328638497652582,63.47058823529411,0.5245901639344263,0.47540983606557374,0.17777777777777778,0.7349397590361446,0.06024096385542168,7.314285714285714
2024,JAX,32.11764705882353,24.352941176470587,218.64705882352942,101.70588235294117,27.97529411764706,546,414,2023,36.470588235294116,26.647058823529413,257.47058823529414,96.82352941176471,31.15764705882353,32.11764705882353,24.352941176470587,0.6339285714285714,0.5565819861431871,65.88235294117646,0.5584415584415584,0.4415584415584416,0.18646616541353384,0.7955357142857142,0.06160714285714286,8.033870967741935
2025,JAX,33.11764705882353,28.764705882352942,236.8235294117647,115.05882352941177,35.56705882352941,563,489,2024,32.11764705882353,24.352941176470587,218.64705882352942,101.70588235294117,27.97529411764706,33.11764705882353,28.764705882352942,0.6126126126126126,0.5245098039215687,58.76470588235294,0.5306122448979592,0.4693877551020408,0.2068376068376068,0.7027027027027027,0.13113113113113112,8.3992673992674
2015,KC,29.5625,27.25,218.3125,127.75,33.6325,473,436,2014,30.8125,26.25,214.25,119.875,31.8075,29.5625,27.25,0,0,0,0,0,0,0,0,0
2016,KC,34.125,25.75,244.625,109.25,31.085,546,412,2015,29.5625,27.25,218.3125,127.75,33.6325,34.125,25.75,0,0,0,0,0,0,0,0,0
2017,KC,33.9375,25.3125,270.375,118.9375,33.708749999999995,543,405,2016,34.125,25.75,244.625,109.25,31.085,33.9375,25.3125,0,0,0,0,0,0,0,0,0
2018,KC,36.4375,24.1875,320.375,115.9375,42.90875,583,387,2017,33.9375,25.3125,270.375,118.9375,33.708749999999995,36.4375,24.1875,0,0,0,0,0,0,0,0,0
2019,KC,36,23.4375,293.125,98.0625,35.03125,576,375,2018,36.4375,24.1875,320.375,115.9375,42.90875,36,23.4375,0.6392785571142284,0.6494565217391305,62.375,0.6467391304347826,0.3532608695652174,0.23114754098360657,0.7995991983967936,0.02404809619238477,9.04459691252144
2020,KC,39.375,25.1875,312.8125,112.4375,38.63125,630,403,2019,36,23.4375,293.125,98.0625,35.03125,39.375,25.1875,0.6411042944785276,0.6634146341463415,61.125,0.5486111111111112,0.45138888888888884,0.22885572139303484,0.7689161554192229,0.0081799591002045,8.53298611111111
2021,KC,39.705882352941174,25.352941176470587,290.4117647058824,115,37.46941176470588,675,431,2020,39.375,25.1875,312.8125,112.4375,38.63125,39.705882352941174,25.352941176470587,0.6575471698113208,0.6606060606060606,66.25,0.6463414634146342,0.35365853658536583,0.1811263318112633,0.8,0.01037735849056603,8.112877583465819
2022,KC,38.294117647058826,24.529411764705884,308.8235294117647,115.88235294117646,39.94117647058823,651,417,2021,39.705882352941174,25.352941176470587,290.4117647058824,115,37.46941176470588,38.294117647058826,24.529411764705884,0.6613896218117854,0.6450939457202505,66.88235294117646,0.6262135922330098,0.37378640776699024,0.17163120567375886,0.7862796833773087,0.02198768689533861,7.355555555555555
2023,KC,37.35294117647059,24.529411764705884,257.8235294117647,104.94117647058823,30.571764705882355,635,417,2022,38.294117647058826,24.529411764705884,308.8235294117647,115.88235294117646,39.94117647058823,37.35294117647059,24.529411764705884,0.6606005459508644,0.664,64.6470588235294,0.6441441441441441,0.3558558558558559,0.16176470588235295,0.7825295723384895,0.00909918107370336,7.238095238095238
2024,KC,35.294117647058826,26.470588235294116,238,105.29411764705883,31.46117647058824,600,450,2023,37.35294117647059,24.529411764705884,257.8235294117647,104.94117647058823,30.571764705882355,35.294117647058826,26.470588235294116,0.6632747456059205,0.632016632016632,63.588235294117645,0.6123595505617978,0.3876404494382022,0.16591251885369532,0.8177613320999075,0.02960222016651249,6.458990536277603
2025,KC,34.35294117647059,25.294117647058822,232.1764705882353,106.58823529411765,30.651764705882357,584,430,2024,35.294117647058826,26.470588235294116,238,105.29411764705883,31.46117647058824,34.35294117647059,25.294117647058822,0.6239707227813358,0.6138996138996139,64.29411764705883,0.59,0.41000000000000003,0.13996889580093314,0.7493138151875571,0.01372369624885635,6.343333333333334
2015,LA,29.5625,26.8125,183.1875,122.25,28.302500000000002,473,429,2014,32.1875,24.6875,230.9375,102.1875,28.58125,29.5625,26.8125,0,0,0,0,0,0,0,0,0
2016,LA,33.5,23.4375,207.0625,78.25,22.9825,536,375,2015,29.5625,26.8125,183.1875,122.25,28.302500000000002,33.5,23.4375,0,0,0,0,0,0,0,0,0
2017,LA,32.375,28.375,251.4375,122.0625,35.63875,518,454,2016,33.5,23.4375,207.0625,78.25,22.9825,32.375,28.375,0,0,0,0,0,0,0,0,0
2018,LA,35.5,28.6875,295.625,139.4375,42.393750000000004,568,459,2017,32.375,28.375,251.4375,122.0625,35.63875,35.5,28.6875,0,0,0,0,0,0,0,0,0
2019,LA,39.5,25.0625,291.8125,93.6875,34.04125,632,401,2018,35.5,28.6875,295.625,139.4375,42.393750000000004,39.5,25.0625,0.584817244611059,0.5645161290322581,66.6875,0.53301886792452835,0.46698113207547165,0.21357615894039736,0.3795688847235239,0.14339268978444236,8.637323943661972
2020,LA,36.875,29.5625,261.4375,126.125,35.195,590,473,2019,39.5,25.0625,291.8125,93.6875,34.04125,36.875,29.5625,0.6288951841359773,0.5892857142857143,66.1875,0.47953216374269,0.5204678362573101,0.19359756097560976,0.42965061378659114,0.13503305004721436,7.704113924050633
2021,LA,35.705882352941174,24.705882352941178,287.8235294117647,99,34.58941176470588,607,420,2020,36.875,29.5625,261.4375,126.125,35.195,35.705882352941174,24.705882352941178,0.5876951331496786,0.5804988662131519,68.0625,0.41975308641975306,0.5802469135802469,0.14935064935064934,0.418732782369146,0.15243342516069788,6.684210526315789
2022,LA,31.235294117647058,24.176470588235293,206.23529411764707,97.70588235294117,27.078823529411768,531,411,2021,35.705882352941174,24.705882352941178,287.8235294117647,99,34.58941176470588,31.235294117647058,24.176470588235293,0.6116870876531574,0.580568720379147,62.411764705882355,0.6047619047619047,0.3952380952380953,0.2059282371294852,0.5721017907634307,0.16870876531573986,8.457990115321252
2023,LA,34.294117647058826,28.058823529411764,252.94117647058823,120.29411764705883,34.61764705882353,583,477,2022,31.235294117647058,24.176470588235293,206.23529411764707,97.70588235294117,27.078823529411768,34.294117647058826,28.058823529411764,0.6123876123876124,0.5375854214123007,58.88235294117647,0.5954198473282443,0.40458015267175573,0.16271186440677965,0.5224775224775224,0.11488511488511488,6.990583804143126
2024,LA,32.88235294117647,26.470588235294116,240.94117647058823,103.82352941176471,30.49058823529412,559,450,2023,34.294117647058826,28.058823529411764,252.94117647058823,120.29411764705883,34.61764705882353,32.88235294117647,26.470588235294116,0.5845454545454546,0.5652173913043478,64.70588235294117,0.5245901639344263,0.47540983606557374,0.20418006430868169,0.610909090909091,0.11181818181818182,7.730703259005145
2025,LA,35.1764705882353,27.352941176470587,276.88235294117646,126.58823529411765,40.557647058823534,598,465,2024,32.88235294117647,26.470588235294116,240.94117647058823,103.82352941176471,30.49058823529412,35.1764705882353,27.352941176470587,0.5718390804597702,0.5122950819672131,61.411764705882355,0.4918918918918919,0.508108108108108,0.18043844856661043,0.5411877394636015,0.08812260536398467,7.377459749552773
2015,LAC,41.6875,24.5625,303.4375,84.875,29.625000000000004,667,393,2014,35.875,24.875,268.5,85.4375,29.283750000000005,41.6875,24.5625,0,0,0,0,0,0,0,0,0
2016,LAC,36.25,24.875,274.125,94.375,32.4025,580,398,2015,41.6875,24.5625,303.4375,84.875,29.625000000000004,36.25,24.875,0,0,0,0,0,0,0,0,0
