season,team,team_projected_pass_attempts_pg,team_projected_carries_pg
2017,DEN,34.10563652544351,27.794288003663002
2017,DET,37.53775755494505,23.8218342415091
2017,GB,37.914008951118326,25.3865463197954
2017,HOU,35.09193118079837,24.28457198183761
2017,IND,37.90653699599012,25.872477055726137
2017,JAX,34.58672531512605,25.099810020708457
2017,KC,33.423932205457945,27.797530691964287
2017,LA,31.752987745761182,26.302201704545453
2017,LAC,38.55558608058608,25.821981587652544
2017,LV,37.76306416724615,25.37761245915543
2017,MIA,31.551628167839105,27.062273826433984
2017,MIN,35.285262021475255,24.663123822791793
2017,NE,37.47598332656926,27.873997942162006
2017,NO,39.05362877140221,25.71406466733328
2017,NYG,35.756215547116284,24.663123822791793
2017,NYJ,31.851462448142136,27.57249053030303
2017,PHI,35.11239318407287,25.65923561030983
2017,PIT,38.137266162656786,25.71996637196545
2017,SEA,38.1335335237679,27.202234310190423
2017,SF,34.702054455960706,26.254681299603174
2017,TB,36.74563697638146,26.036430073832417
2017,TEN,33.79503179112554,27.642125225035382
2017,WAS,37.914008951118326,25.3865463197954
2018,ARI,35.8055173992674,27.051444327731094
2018,ATL,33.1383056938721,25.907176959325398
2018,BAL,35.01353975183824,25.385644954004327
2018,BUF,33.79890161793884,26.9499781162465
2018,CAR,34.50049391797439,27.638780199579834
2018,CHI,33.38172341853408,26.754082961309525
2018,CIN,33.29065628254507,27.071010044642858
2018,CLE,33.77268410970157,27.745628720238095
2018,DAL,34.50049391797439,26.310980720413166
2018,DEN,34.874614298844534,26.69912151650433
2018,DET,36.35859265581232,24.79005659054487
2018,GB,33.99828367544934,27.298083082664885
2018,HOU,33.4210205376221,27.625790550595237
2018,IND,34.163968582224555,26.754082961309525
2018,JAX,33.63993428446553,28.677005646008404
2018,KC,35.14455250249138,26.592311507936508
2018,LA,33.35721944071553,26.888008067810457
2018,LAC,35.36995663650075,25.645264923878205
2018,LV,33.05407083406279,27.44685878612809
2018,MIA,35.42684092867916,27.488048735119047
2018,MIN,33.35721944071553,28.710490524334734
2018,NE,36.99855651395173,25.879687803515928
2018,NO,35.32081330128205,26.745566716269842
2018,NYG,35.20914134884723,27.607607886904763
2018,NYJ,32.31518660248555,27.021251860119047
2018,PHI,35.249605346399925,28.010904823577157
2018,PIT,37.422231452677224,25.19777393830128
2018,SEA,32.77135599031279,26.050665465049654
2018,SF,35.89655330882353,25.30028760557253
2018,TB,37.52619758841037,25.51152912842366
2018,TEN,33.67973865327381,25.132207961309526
2018,WAS,32.32140341212607,26.2708707346575
2019,ARI,35.010492066144636,24.669042405077562
2019,ATL,36.61194430569431,25.631166818781708
2019,BAL,32.86738964160839,28.208219521236526
2019,BUF,33.881641535547786,26.862232218608597
2019,CAR,34.963717532467534,26.161446951486013
2019,CHI,34.34286000457875,27.075633812674255
2019,CIN,34.71241280165913,25.72668667372252
2019,CLE,36.5653349159266,25.347881610576923
2019,DAL,34.33495410839161,26.905508965860527
2019,DEN,35.27020089285714,25.90612362132353
2019,DET,34.50513435132576,28.762425562718533
2019,GB,37.03704934771111,25.599365937371452
2019,HOU,35.53963198260073,25.318272569444446
2019,IND,37.12085758336333,26.44872718809989
2019,JAX,33.504947916666666,26.36185343519328
2019,KC,36.03925527597403,26.39888567697621
2019,LA,36.70977957589286,27.689086174242426
2019,LAC,34.949347286445175,25.856076728112573
2019,LV,32.810532650560226,26.814761760528075
2019,MIA,33.51340469426407,26.015902601024383
2019,MIN,37.22203894578665,24.813326509581106
2019,NE,37.28173186533136,27.689086174242426
2019,NO,35.024788232600734,26.59134311868687
2019,NYG,35.837746805635135,25.326938353466385
2019,NYJ,32.21943359375,26.483592080662394
2019,PHI,37.61949001901897,25.30896453041444
2019,PIT,36.98750234140859,25.734149773327164
2019,SEA,31.472205171130952,29.024280521867837
2019,SF,34.399358974358975,25.27289496527778
2019,TB,36.33059284465534,25.734149773327164
2019,TEN,32.931171692890445,27.770160135003884
2019,WAS,32.54173768939394,26.296092080662394
2020,ARI,34.374878520300165,24.98380419876284
2020,ATL,37.358785420308855,25.55154981737013
2020,BAL,31.36251931662088,30.332151734983768
2020,BUF,33.67816247592787,27.648320521390374
2020,CAR,34.347233495671,25.695364291549954
2020,CHI,34.72997494042416,25.09221420940171
2020,CIN,36.61801609848485,25.56517827301375
2020,CLE,34.79117316315731,25.533511180914672
2020,DAL,38.12353515625,25.699298113676562
2020,DEN,33.278239338786214,26.864019097222222
2020,DET,34.333800379308194,25.579675364463967
2020,GB,34.07920363057082,24.98395025623886
2020,HOU,35.69683793853716,25.443999516874058
2020,IND,33.67816247592787,27.59439059714795
2020,JAX,34.45602255817099,25.25055007798574
2020,KC,35.68897414434524,25.245541269392373
2020,LA,36.51354895104895,25.697431394432773
2020,LAC,36.075932563530216,24.76707305791635
2020,LV,35.26394539705087,26.203841145833334
2020,MIA,34.95718214077589,25.655418583152958
2020,MIN,33.189179472870876,28.18035474724928
2020,NE,36.37344637784091,25.894061488960386
2020,NO,35.81499542124542,25.92828912815126
2020,NYG,34.38260281385281,25.246307282382652
2020,NYJ,33.8609752877331,26.20627614572927
2020,PHI,36.403125058025104,25.494966063348414
