player_id,position,draft_year_24,talent_prior_fppg_24,rookie_actual_fppg_24,talent_prior_source_24
00-0031612,RB,2015,4.168826806873682,0.45999999999999996,position_prior
00-0031611,RB,2015,4.168826806873682,1.6400000000000001,position_prior
00-0032152,RB,2015,4.168826806873682,10.981818181818182,position_prior
00-0032209,RB,2015,4.168826806873682,11.491666666666667,position_prior
00-0031549,WR,2015,3.9200641894535337,3.523076923076923,position_prior
00-0031962,WR,2015,3.9200641894535337,2,position_prior
00-0032113,WR,2015,3.9200641894535337,0,position_prior
00-0031960,WR,2015,3.9200641894535337,0,position_prior
00-0032115,WR,2015,3.9200641894535337,0,position_prior
00-0032166,WR,2015,3.9200641894535337,1.6,position_prior
00-0032128,WR,2015,3.9200641894535337,2.866666666666667,position_prior
00-0031544,WR,2015,3.9200641894535337,11.16875,position_prior
00-0031941,WR,2015,3.9200641894535337,6.3812500000000005,position_prior
00-0031953,WR,2015,3.9200641894535337,0.62,position_prior
00-0032121,WR,2015,3.9200641894535337,0,position_prior
00-0031588,WR,2015,3.9200641894535337,9.484615384615385,position_prior
00-0032208,WR,2015,3.9200641894535337,3.563636363636364,position_prior
00-0032055,WR,2015,3.9200641894535337,5.800000000000001,position_prior
00-0032218,WR,2015,3.9200641894535337,6.778571428571429,position_prior
00-0032170,WR,2015,3.9200641894535337,3.4222222222222225,position_prior
00-0031570,WR,2015,3.9200641894535337,3.3222222222222224,position_prior
00-0032070,WR,2015,3.9200641894535337,0,position_prior
00-0032211,WR,2015,3.9200641894535337,8.11875,position_prior
00-0032123,WR,2015,3.9200641894535337,1.4333333333333333,position_prior
00-0032200,WR,2015,3.9200641894535337,5.75,position_prior
00-0031600,WR,2015,3.9200641894535337,1.4214285714285713,position_prior
00-0032112,WR,2015,3.9200641894535337,4.74,position_prior
00-0031547,WR,2015,3.9200641894535337,8.040000000000001,position_prior
00-0032054,WR,2015,3.9200641894535337,0,position_prior
00-0032064,WR,2015,3.9200641894535337,0,position_prior
00-0031934,WR,2015,3.9200641894535337,3.142857142857143,position_prior
00-0031954,WR,2015,3.9200641894535337,0,position_prior
00-0031560,WR,2015,3.9200641894535337,4.11,position_prior
00-0031545,WR,2015,3.9200641894535337,0,position_prior
00-0032072,TE,2015,3.1462646678718107,0,position_prior
00-0031617,TE,2015,3.1462646678718107,0,position_prior
