season,week,player_id,xfp_24,fpoe_24
2023,2,00-0031408,NA,NA
2023,2,00-0033921,NA,NA
2023,2,00-0037256,NA,NA
2023,2,00-0036945,NA,NA
2023,2,00-0034827,NA,NA
2023,2,00-0033757,NA,NA
2023,2,00-0038129,NA,NA
2023,2,00-0039052,NA,NA
2023,2,00-0036326,NA,NA
2023,2,00-0036290,NA,NA
2023,2,00-0036906,NA,NA
2023,2,00-0039021,NA,NA
2023,2,00-0034575,NA,NA
2023,2,00-0038821,NA,NA
2023,2,00-0033537,NA,NA
2023,2,00-0036232,NA,NA
2023,2,00-0036980,NA,NA
2023,2,00-0031544,NA,NA
2023,2,00-0037257,NA,NA
2023,2,00-0036233,NA,NA
2023,2,00-0038102,NA,NA
2023,2,00-0031428,NA,NA
2023,2,00-0037247,NA,NA
2023,2,00-0033885,NA,NA
2023,2,00-0037228,NA,NA
2023,2,00-0035645,NA,NA
2023,2,00-0037267,NA,NA
2023,2,00-0037837,NA,NA
2023,2,00-0036893,NA,NA
2023,2,00-0036894,NA,NA
2023,2,00-0035703,NA,NA
2023,2,00-0030068,NA,NA
2023,2,00-0034364,NA,NA
2023,2,00-0038098,NA,NA
2023,2,00-0036264,NA,NA
2023,2,00-0039144,NA,NA
2023,2,00-0039146,NA,NA
2023,2,00-0038122,NA,NA
2023,2,00-0037238,NA,NA
2023,2,00-0033858,NA,NA
2023,2,00-0038542,NA,NA
2023,2,00-0036970,NA,NA
2023,2,00-0037816,NA,NA
2023,2,00-0035973,NA,NA
2023,2,00-0036265,NA,NA
2023,2,00-0038393,NA,NA
2023,2,00-0036332,NA,NA
2023,2,00-0033555,NA,NA
2023,2,00-0037098,NA,NA
2023,2,00-0038465,NA,NA
2023,2,00-0039164,NA,NA
2023,2,00-0036252,NA,NA
2023,2,00-0033466,NA,NA
2023,2,00-0036876,NA,NA
2023,2,00-0038997,NA,NA
2023,2,00-0033217,NA,NA
2023,2,00-0039163,NA,NA
2023,2,00-0038977,NA,NA
2023,2,00-0036554,NA,NA
2023,2,00-0030431,NA,NA
2023,2,00-0036251,NA,NA
2023,2,00-0034383,NA,NA
2023,2,00-0035289,NA,NA
2023,2,00-0037664,NA,NA
2023,2,00-0038394,NA,NA
2023,2,00-0037258,NA,NA
2023,2,00-0036556,NA,NA
2023,2,00-0035250,NA,NA
2023,2,00-0038618,NA,NA
2023,2,00-0037614,NA,NA
2023,2,00-0036971,NA,NA
2023,2,00-0034775,NA,NA
2023,2,00-0034837,NA,NA
2023,2,00-0033881,NA,NA
2023,2,00-0033873,NA,NA
2023,2,00-0034272,NA,NA
2023,2,00-0032217,NA,NA
2023,2,00-0033891,NA,NA
2023,2,00-0034386,NA,NA
2023,2,00-0038090,NA,NA
2023,2,00-0036913,NA,NA
2023,2,00-0030506,NA,NA
2023,2,00-0037197,NA,NA
2023,2,00-0031376,NA,NA
2023,2,00-0035628,NA,NA
2023,2,00-0039067,NA,NA
2023,2,00-0033572,NA,NA
2023,2,00-0036973,NA,NA
2023,2,00-0036637,NA,NA
2023,2,00-0036360,NA,NA
2023,2,00-0034286,NA,NA
2023,2,00-0036355,NA,NA
2023,2,00-0036370,NA,NA
2023,2,00-0038544,NA,NA
2023,2,00-0029701,NA,NA
2023,2,00-0036182,NA,NA
2023,2,00-0037809,NA,NA
2023,2,00-0030279,NA,NA
2023,2,00-0033536,NA,NA
2023,2,00-0030564,NA,NA
2023,2,00-0036988,NA,NA
2023,2,00-0032764,NA,NA
2023,2,00-0038862,NA,NA
2023,2,00-0033895,NA,NA
2023,2,00-0035688,NA,NA
2023,2,00-0037742,NA,NA
2023,2,00-0039032,NA,NA
2023,2,00-0035259,NA,NA
2023,2,00-0037475,NA,NA
2023,2,00-0032398,NA,NA
2023,2,00-0035329,NA,NA
2023,2,00-0031345,NA,NA
2023,2,00-0035700,NA,NA
2023,2,00-0031381,NA,NA
2023,2,00-0032104,NA,NA
2023,2,00-0034857,NA,NA
2023,2,00-0031588,NA,NA
2023,2,00-0035215,NA,NA
2023,2,00-0035689,NA,NA
2023,2,00-0036187,NA,NA
2023,2,00-0036196,NA,NA
2023,2,00-0038563,NA,NA
2023,2,00-0031763,NA,NA
2023,2,00-0038933,NA,NA
2023,2,00-0037248,NA,NA
2023,2,00-0037261,NA,NA
2023,2,00-0039066,NA,NA
2023,2,00-0030513,NA,NA
2023,2,00-0032392,NA,NA
2023,2,00-0034983,NA,NA
2023,2,00-0036972,NA,NA
2023,2,00-0034829,NA,NA
2023,2,00-0031547,NA,NA
2023,2,00-0038621,NA,NA
2023,2,00-0036875,NA,NA
2023,2,00-0036212,NA,NA
2023,2,00-0034419,NA,NA
2023,2,00-0036613,NA,NA
2023,2,00-0031687,NA,NA
2023,2,00-0033040,NA,NA
2023,2,00-0036020,NA,NA
2023,2,00-0033307,NA,NA
2023,2,00-0033090,NA,NA
2023,2,00-0033857,NA,NA
2023,2,00-0032200,NA,NA
2023,2,00-0034054,NA,NA
2023,2,00-0034798,NA,NA
2023,2,00-0039040,NA,NA
2023,2,00-0038092,NA,NA
2023,2,00-0036389,NA,NA
2023,2,00-0036912,NA,NA
2023,2,00-0034351,NA,NA
2023,2,00-0035676,NA,NA
2023,2,00-0029604,NA,NA
2023,2,00-0036322,NA,NA
2023,2,00-0034972,NA,NA
2023,2,00-0036345,NA,NA
2023,2,00-0038994,NA,NA
2023,2,00-0035229,NA,NA
2023,2,00-0036275,NA,NA
2023,2,00-0035249,NA,NA
2023,2,00-0034750,NA,NA
2023,2,00-0037276,NA,NA
2023,2,00-0031280,NA,NA
2023,2,00-0032765,NA,NA
2023,2,00-0037239,NA,NA
2023,2,00-0039150,NA,NA
2023,2,00-0035243,NA,NA
2023,2,00-0030035,NA,NA
2023,2,00-0034317,NA,NA
2023,2,00-0034981,NA,NA
2023,2,00-0035860,NA,NA
2023,2,00-0037545,NA,NA
2023,2,00-0034777,NA,NA
2023,2,00-0039062,NA,NA
2023,2,00-0033357,NA,NA
2023,2,00-0036040,NA,NA
2023,2,00-0036555,NA,NA
2023,2,00-0034830,NA,NA
2023,2,00-0033949,NA,NA
2023,2,00-0030061,NA,NA
2023,2,00-0035662,NA,NA
2023,2,00-0035710,NA,NA
2023,2,00-0036165,NA,NA
2023,2,00-0034844,NA,NA
2023,2,00-0035535,NA,NA
2023,2,00-0038559,NA,NA
2023,2,00-0037744,NA,NA
2023,2,00-0036936,NA,NA
2023,2,00-0031610,NA,NA
2023,2,00-0038705,NA,NA
2023,2,00-0035639,NA,NA
2023,2,00-0038938,NA,NA
2023,2,00-0033553,NA,NA
2023,2,00-0033251,NA,NA
2023,2,00-0032385,NA,NA
2023,2,00-0033077,NA,NA
2023,2,00-0035261,NA,NA
2023,2,00-0036358,NA,NA
2023,2,00-0038041,NA,NA
2023,2,00-0037013,NA,NA
2023,2,00-0034521,NA,NA
2023,2,00-0038622,NA,NA
2023,2,00-0037740,NA,NA
2023,2,00-0037666,NA,NA
2023,2,00-0034764,NA,NA
2023,2,00-0038120,NA,NA
2023,2,00-0028002,NA,NA
2023,2,00-0037801,NA,NA
2023,2,00-0038547,NA,NA
2023,2,00-0034270,NA,NA
2023,2,00-0036924,NA,NA
2023,2,00-0036139,NA,NA
2023,2,00-0035140,NA,NA
2023,2,00-0033893,NA,NA
2023,2,00-0030565,NA,NA
2023,2,00-0038543,NA,NA
2023,2,00-0038134,NA,NA
2023,2,00-0035640,NA,NA
2023,2,00-0034159,NA,NA
2023,2,00-0033106,NA,NA
2023,2,00-0039065,NA,NA
2023,2,00-0039139,NA,NA
2023,2,00-0033943,NA,NA
2023,2,00-0032211,NA,NA
2023,2,00-0038627,NA,NA
2023,2,00-0036963,NA,NA
2023,2,00-0035644,NA,NA
2023,2,00-0032464,NA,NA
2023,2,00-0038752,NA,NA
2023,2,00-0039165,NA,NA
2023,2,00-0036244,NA,NA
2023,2,00-0035685,NA,NA
2023,2,00-0035567,NA,NA
2023,2,00-0037834,NA,NA
2023,2,00-0033288,NA,NA
2023,2,00-0033280,NA,NA
2023,2,00-0036261,NA,NA
2023,2,00-0035719,NA,NA
2023,2,00-0026498,NA,NA
2023,2,00-0039075,NA,NA
2023,2,00-0036849,NA,NA
2023,2,00-0037840,NA,NA
2023,2,00-0033110,NA,NA
2023,2,00-0036259,NA,NA
2023,2,00-0037557,NA,NA
2023,2,00-0036862,NA,NA
2023,2,00-0036415,NA,NA
2023,2,00-0037077,NA,NA
2023,2,00-0037741,NA,NA
2023,2,00-0035659,NA,NA
2023,2,00-0037746,NA,NA
2023,2,00-0036628,NA,NA
2023,2,00-0029263,NA,NA
2023,2,00-0036407,NA,NA
2023,2,00-0036626,NA,NA
2023,2,00-0031260,NA,NA
2023,2,00-0038976,NA,NA
2023,2,00-0035406,NA,NA
2023,2,00-0037382,NA,NA
2023,2,00-0033282,NA,NA
2023,2,00-0037078,NA,NA
2023,2,00-0036328,NA,NA
2023,2,00-0033526,NA,NA
2023,2,00-0034348,NA,NA
2023,2,00-0036997,NA,NA
2023,2,00-0034297,NA,NA
2023,2,00-0036422,NA,NA
2023,3,00-0038122,NA,NA
2023,3,00-0038542,NA,NA
2023,3,00-0033555,NA,NA
2023,3,00-0037263,NA,NA
2023,3,00-0033106,NA,NA
2023,3,00-0039065,NA,NA
2023,3,00-0036970,NA,NA
2023,3,00-0037238,NA,NA
2023,3,00-0036963,NA,NA
2023,3,00-0032464,NA,NA
2023,3,00-0033858,NA,NA
2023,3,00-0039139,NA,NA
2023,3,00-0031585,NA,NA
2023,3,00-0034854,NA,NA
2023,3,00-0034857,NA,NA
2023,3,00-0038933,NA,NA
2023,3,00-0031588,NA,NA
2023,3,00-0035689,NA,NA
2023,3,00-0037077,NA,NA
2023,3,00-0035659,NA,NA
2023,3,00-0037078,NA,NA
2023,3,00-0036626,NA,NA
2023,3,00-0037248,NA,NA
2023,3,00-0037741,NA,NA
2023,3,00-0036196,NA,NA
2023,3,00-0033282,NA,NA
2023,3,00-0037261,NA,NA
2023,3,00-0034487,NA,NA
2023,3,00-0035215,NA,NA
2023,3,00-0036328,NA,NA
2023,3,00-0030513,NA,NA
2023,3,00-0036628,NA,NA
2023,3,00-0030565,NA,NA
2023,3,00-0035640,NA,NA
2023,3,00-0036425,NA,NA
2023,3,00-0027973,NA,NA
2023,3,00-0034777,NA,NA
2023,3,00-0030035,NA,NA
2023,3,00-0039062,NA,NA
