position,feature,delta_MAE_if_permuted,delta_RMSE_if_permuted,delta_correlation_if_permuted,delta_rank_correlation_if_permuted,target_year
QB,season_to_date_pass_ypa,-0.002068166807102164,8.855979116718279e-4,1.6668977203500763e-5,-1.9424559002360434e-4,2024
QB,xfp_gap_vs_base_232,-0.002394957486149115,0.047590024185697764,0.005894138106008843,0.00443549552623516,2024
QB,matchup_role_interaction,-0.008097322773036986,-0.0110464274649719,-0.0015841055043421075,-0.001765023112134223,2024
QB,roll3_carry_share,-0.024296183433628233,0.05950536782033359,0.004157189530693661,5.549858861399285e-4,2024
QB,roll3_ngs_air_yards,-0.035079610013982375,0.05167213586757461,0.0026683106956635707,0.00507234687626823,2024
QB,roll5_pass_attempts,-0.04935330602056324,0.04194160042058955,-6.037230403372155e-4,-0.0011198009545099197,2024
RB,talent_prior_fppg_24,0.045442907275028276,0.04046426287857644,0.005219351397069527,0.0074781002003729835,2024
RB,roll3_carry_share,0.041849988104102565,0.00989321074111397,-0.0015531127525248989,0.0020676796369841024,2024
RB,roll3_offense_pct,0.034503002452754394,0.00927605470833548,-3.661384429748023e-4,0.0029933008691735616,2024
RB,favorite_rush_interaction,0.025728809443816836,0.01780799987017545,0.002059315880455196,0.002547481328849336,2024
RB,season_targets_prior,0.017779056095876083,0.0033399708502699355,-1.7446148444192713e-4,0.0012539400401989271,2024
RB,xfp_gap_vs_base_232,0.01297852398624085,0.023490342391959906,0.0035342831398962695,0.0027298045815048835,2024
RB,roll3_ngs_time_to_los,0.011979561271969233,-1.1713439514219696e-4,-9.850830846806675e-4,-9.311165205408978e-4,2024
RB,tw_draft_capital_log_24,0.009274294677049433,0.006277304594558035,6.401475884630914e-4,0.0013354513419399083,2024
RB,roll3_rush_ypc,0.0061917035012335475,0.004521295018144282,5.153704776100776e-4,0.0010990235198223841,2024
RB,roll3_catch_rate,0.004875388753899775,1.3567598506962023e-4,-1.1761994818818937e-4,7.969690843957119e-4,2024
RB,season_to_date_rush_ypc,0.0030922138105055432,0.0016505575664389482,1.6871553775184753e-4,6.328146847243143e-4,2024
RB,tw_college_missing_24,0.0017334093765827656,0.006926775972481221,0.001288783832527655,0.0015493678017003039,2024
RB,roll3_ngs_box_rate,7.69090314034789e-4,-5.044311438823593e-4,-1.494789302154779e-4,-2.1286574308639525e-4,2024
RB,direct_gap_vs_base_232,5.113297275064118e-4,0.01982236869807874,0.0036121558667731404,0.006468561585288375,2024
RB,opportunity_per_snap,2.8423941334221325e-4,0.014249162800435458,0.002624521735499874,0.0031271590548416217,2024
RB,role_fppg_trend,2.3302499285460243e-4,5.496422258630673e-4,9.294419383854002e-5,8.15325180287448e-5,2024
RB,season_to_date_catch_rate,-5.188884830117738e-4,7.245203625079928e-5,3.002210201992946e-5,-1.3204945565451856e-4,2024
RB,roll5_targets,-0.004224518721593462,3.421611193985541e-4,2.5181575280726803e-4,-7.676465314791307e-5,2024
RB,roll3_rush_td_rate,-0.004482758202912329,-0.0017689579723496607,1.4038059660448354e-4,0.0010592925608960229,2024
RB,season_to_date_fppg,-0.005470547237793906,-0.0019205989068999212,-9.939912650014371e-5,-1.608406842996679e-4,2024
