position,feature,n,coverage,outcome_pearson,outcome_spearman,partial_correlation_after_base,residual_correlation,year_sign_stability,median_year_abs_residual_cor,signal_score,target_year
WR,tw_combine_weight_24,4863,1,0.1287625823854897,0.1133852067971234,0.03137064244773881,0.025798027184768278,1,0.024259833924759017,0.19242385936359546,2024
WR,prior_rec_td_rate,4863,1,0.15311953719665028,0.23277514487294548,-0.011222557035363864,-0.018636548747515344,1,0.01852994011710144,0.1906474850601635,2024
WR,roll3_ngs_yac_oe,4863,1,0.12208916085225416,0.10861937087158889,-0.020356770859146008,-0.026468275369104222,1,0.027104432564411658,0.18997573298647585,2024
WR,tw_combine_missing_24,4863,1,-0.15509051548488728,-0.19360161390662525,-0.022290911959254114,-0.014930107138913955,1,0.013515934469744948,0.18957573456171248,2024
WR,tw_combine_bmi_24,4863,1,0.1177190523682991,0.09093206394014146,0.028943566153503054,0.023941279171266403,1,0.02226381383979154,0.1893497288893853,2024
WR,practice_risk,4863,1,0.08139158793046687,0.09081950120985119,-0.024822826885266915,-0.02935459095666634,1,0.029159979105959258,0.1892222233513766,2024
WR,prior_pass_td_rate,4863,1,-0.04088905493534105,-0.12540351929131166,-0.027890270352624758,-0.026994706609418447,1,0.026560753263520125,0.18759919564765812,2024
WR,rest_days,4863,1,-0.026320776870990055,-0.03471044674255018,-0.033264765555009373,-0.03330718734291999,1,0.033225991295717766,0.18759753071766166,2024
WR,is_home,4863,1,0.028156225279181386,0.0305902720918207,0.03280534601498049,0.032740089707191236,1,0.03268562968948403,0.18714956116968812,2024
WR,injury_risk,4863,1,0.022291920462684973,0.04318136938967307,-0.030975454151202335,-0.03317903154603868,1,0.031506958314127184,0.1869652589973615,2024
WR,tw_combine_speed_score_24,4863,1,0.12425077042543427,0.12224508664272613,0.023429929158760264,0.017884473292135574,1,0.017065122940746316,0.18671742518293394,2024
WR,roll3_pass_attempt_share,4863,1,0.08921844141374193,0.08569629112402508,0.026254954338593626,0.022758107550051466,1,0.02307767336548936,0.18642322059184668,2024
WR,weekly_age,4715,0.9695661114538351,-0.008268850459443436,-0.017667046687004875,-0.03270931202012596,-0.03377632662028614,1,0.03401578944603207,0.1859864976645979,2024
WR,preseason_deep_target_rate,4863,1,0.11969005070922123,0.16275485186042182,-0.012329453802178673,-0.018307618103765695,1,0.01792268656735853,0.1858855452137669,2024
WR,weekly_is_rookie,4715,0.9695661114538351,-0.05645480176717634,-0.052099338989588864,0.024794407392304398,0.029049328023695056,1,0.026829340874900368,0.18580968314936308,2024
WR,tw_combine_forty_24,4863,1,0.1121648672979758,0.09996340620576834,0.022570924467142168,0.017680784702589786,1,0.016817574637434447,0.18480171870771173,2024
WR,weekly_experience,4715,0.9695661114538351,0.06475916270676108,0.0715275516169447,-0.018826826530237786,-0.02332412092639527,1,0.023519538325609116,0.18303663828538266,2024
WR,roll3_pass_attempts,4863,1,0.08750945532690092,0.08566623995741184,0.021017435973941217,0.017422227139615522,1,0.017744787177492442,0.18239286694856538,2024
WR,te_middle_matchup,4863,1,0.04446158749245846,0.07504210485392496,0.023233788984968324,0.02196911277008267,1,0.022011507865993568,0.18220899117043163,2024
WR,expected_fppg_232,4863,1,0.5620414253388245,0.6129850187268703,0.1310966235948727,0.02599899440527345,0.5,0.039448810039956504,0.1819476021144868,2024
