feature,importance,importance_pct,position,model_type
two_year_targets_pg,10.925411264590661,2.115581157183526,RB,Breakout/upside classifier
prior_rec_yd_pg,10.027813841395783,1.9417716639517195,RB,Breakout/upside classifier
height,9.28705254566144,1.7983316962220337,RB,Breakout/upside classifier
prior_games,8.361553996947002,1.6191194685774095,RB,Breakout/upside classifier
rec_prior_route_screen,7.610015867873709,1.4735926901095429,RB,Breakout/upside classifier
is_rookie,6.450292751690519,1.2490255490904132,RB,Breakout/upside classifier
rec_prior_redzone_target_rate,6.406814636729087,1.2406065085129314,RB,Breakout/upside classifier
prior_air_yards_share,6.211096369925384,1.202707900640064,RB,Breakout/upside classifier
prior_rush_td_rate,6.058675363834347,1.1731933129841972,RB,Breakout/upside classifier
prior_yards_per_carry,6.0234422231927205,1.1663708175517917,RB,Breakout/upside classifier
fppg_trend,5.933267818621807,1.1489095736177752,RB,Breakout/upside classifier
rec_prior_short_target_rate,5.611379514561358,1.0865795784994121,RB,Breakout/upside classifier
rb_receiving_fit,5.066832108101948,0.9811341902756809,RB,Breakout/upside classifier
weight,4.632575665527795,0.8970453880286702,RB,Breakout/upside classifier
prior_yards_per_attempt,4.1553716695146345,0.8046402823856335,RB,Breakout/upside classifier
prior_pass_yd_pg,3.660046741140101,0.7087262650754848,RB,Breakout/upside classifier
receiver_context_available,3.451153076349011,0.668276391804412,RB,Breakout/upside classifier
prior_rec_td_rate,3.136542031434837,0.6073555548360672,RB,Breakout/upside classifier
prior_pass_td_rate,2.5490692150162673,0.49359815104837296,RB,Breakout/upside classifier
two_year_pass_attempts_pg,2.1499497099744236,0.41631321559998863,RB,Breakout/upside classifier
prior_pass_attempts_pg,1.5409525222237657,0.2983878630451875,RB,Breakout/upside classifier
recent_weighted_fppg,161.96921850632788,11.58151112115724,WR,Fantasy tier classifier
prior_fppg,137.2890845097885,9.816773049389582,WR,Fantasy tier classifier
prior_rec_yd_pg,130.78923725526263,9.352005398114079,WR,Fantasy tier classifier
prior_fantasy_points,126.92258179003952,9.075522534980331,WR,Fantasy tier classifier
career_fppg_before,103.25417252411883,7.383127228876831,WR,Fantasy tier classifier
prior_targets_pg,88.66119253018212,6.339665010257804,WR,Fantasy tier classifier
peak_fppg_before,70.76445418687875,5.059969546719393,WR,Fantasy tier classifier
two_year_fppg,51.02254079157338,3.648335955786684,WR,Fantasy tier classifier
prior_wopr,48.087690466946896,3.4384812563132434,WR,Fantasy tier classifier
prior_target_share,47.45906249170054,3.393531592707243,WR,Fantasy tier classifier
age,29.519725865187432,2.1107901646622103,WR,Fantasy tier classifier
age_squared,27.100514966097656,1.9378059508059309,WR,Fantasy tier classifier
prior_air_yards_share,25.547971639884093,1.8267922781807315,WR,Fantasy tier classifier
two_year_targets_pg,22.97623660726535,1.6429019182986777,WR,Fantasy tier classifier
experience,20.35917925399211,1.4557708132581466,WR,Fantasy tier classifier
draft_pick,20.222637929586455,1.4460075083432695,WR,Fantasy tier classifier
career_games_before,19.964908806629857,1.4275787431044515,WR,Fantasy tier classifier
draft_capital_score,17.443045471841597,1.2472544288474938,WR,Fantasy tier classifier
prior_catch_rate,14.344965367970557,1.0257280826188329,WR,Fantasy tier classifier
fppg_trend,14.328645315797113,1.0245611271473694,WR,Fantasy tier classifier
prior_yards_per_target,12.614793376833836,0.9020131796165575,WR,Fantasy tier classifier
rec_prior_route_in_break,12.426270657593626,0.8885329764668091,WR,Fantasy tier classifier
draft_round,11.910079278042616,0.8516230237112986,WR,Fantasy tier classifier
weight,11.883891068691943,0.8497504516223855,WR,Fantasy tier classifier
prior_rush_yd_pg,11.464109633280799,0.8197342336798412,WR,Fantasy tier classifier
prior_yards_per_carry,11.361541028412905,0.8124001275520606,WR,Fantasy tier classifier
prior_carries_pg,11.220467515157937,0.8023127512114794,WR,Fantasy tier classifier
