feature,importance,importance_pct,position,family
expected_team_pass_rate,1434.1508301029144,0.1503394774357816,RB,direct
def_redzone_rush_td_rate_roll4,1368.5503921835757,0.1434627003567319,RB,direct
def_explosive_pass_rate_roll4,1329.7449250044663,0.13939479234112936,RB,direct
roll3_team_pass_attempts,1288.2443830568056,0.13504436443720708,RB,direct
prior_rec_td_rate,1275.8995937017362,0.1337502821539909,RB,direct
wr_deep_matchup,1264.8839324100452,0.13259552999861018,RB,direct
wr_redzone_matchup,1258.875539388331,0.13196568085851068,RB,direct
team_skill_questionable_count,1245.135979450121,0.13052538725901539,RB,direct
def_pass_success_allowed_roll4,1234.534054114577,0.12941400630709385,RB,direct
roll3_team_carries,1224.1140263131886,0.1283216933497359,RB,direct
roll3_ypt,1219.2455752664816,0.12781134229675,RB,direct
role_fppg_trend,1208.1918026301605,0.12665259499698434,RB,direct
def_rush_success_allowed_roll4,1181.7086336724806,0.12387641155911303,RB,direct
season_targets_prior,1142.8869432311324,0.11980680288782204,RB,direct
is_home,1130.924080001113,0.1185527572401214,RB,direct
season_to_date_ypt,1129.9867513252914,0.11845449874432672,RB,direct
def_qb_hit_rate_roll4,1125.724081497335,0.11800765065766469,RB,direct
injury_risk,1076.0150664827665,0.11279674314063501,RB,direct
expected_team_plays,1019.8063494355591,0.1069044834348644,RB,direct
season_to_date_catch_rate,947.765214146942,0.09935253952085228,RB,direct
snap_trend,913.179862275559,0.09572701867734153,RB,direct
prior_catch_rate,903.6116230835501,0.09472399720295173,RB,direct
target_trend,867.0731503725468,0.09089373418014289,RB,direct
games_played_prior,853.6485923363381,0.08948646166904646,RB,direct
team_skill_out_count,811.2352302370584,0.08504034445427436,RB,direct
season_week,791.1033945534308,0.08292995997241173,RB,direct
rest_days,764.3195616225988,0.08012225846568834,RB,direct
prior_yards_per_attempt,659.9506849744125,0.06918145499753296,RB,direct
roll3_catch_rate,606.2287558242648,0.0635498808382824,RB,direct
roll3_rec_td_rate,579.5085893835964,0.06074885337633899,RB,direct
prior_pass_td_rate,477.3502988385721,0.05003978171253807,RB,direct
practice_risk,457.04649840431364,0.0479113704721194,RB,direct
season_to_date_rec_td_rate,434.0700544939554,0.0455027907758207,RB,direct
qb_pass_matchup,270.4767276741092,0.028353593669187355,RB,direct
season_pass_attempts_prior,184.80847577692677,0.01937314338967589,RB,direct
roll3_pass_attempts,147.79861781789242,0.015493465890807486,RB,direct
roll3_pass_attempt_share,131.4133841349199,0.013775831024337767,RB,direct
season_to_date_pass_ypa,125.60646483801985,0.013167102016005313,RB,direct
roll5_pass_attempts,122.81349587985964,0.012874320054128937,RB,direct
qb_pressure_matchup,109.94703065138391,0.011525551418157863,RB,direct
season_to_date_pass_td_rate,99.41173587188743,0.010421155228764198,RB,direct
structured_neutral_fppg,7004.909369373018,7.045671503347808,RB,matchup
baseline_weekly_fppg,5181.641528357564,5.211793919352331,RB,matchup
matchup_role_interaction,4841.030337712338,4.869200684649962,RB,matchup
wr_volume_matchup,4596.048246781592,4.622793023125026,RB,matchup
rb_receiving_matchup,3430.4900980642938,3.45045239730372,RB,matchup
opp_pos_fppg_allowed_roll4,3347.6765674621033,3.3671569680713933,RB,matchup
opp_pos_residual_roll4,3312.968995681803,3.332247430124758,RB,matchup
def_pass_epa_allowed_roll4,3010.1544922253734,3.02767082458984,RB,matchup
roll3_ngs_rush_yoe_pa,2862.015710705164,2.878670011522786,RB,matchup
te_middle_matchup,2760.597450588339,2.7766615903505665,RB,matchup
opp_pos_residual_roll8,2740.6656727831783,2.7566138279188515,RB,matchup
roll3_ypt,2648.341508865278,2.663752422226606,RB,matchup
rb_rush_matchup,2420.0303503938703,2.434112702664852,RB,matchup
favorite_rush_interaction,2385.7335630492253,2.3996163395417165,RB,matchup
implied_team_total,2274.2218490185555,2.287455729831261,RB,matchup
roll3_ngs_box_rate,2238.7418889883656,2.251769309045063,RB,matchup
def_pass_epa_allowed_roll8,2213.783750526664,2.2266659371577604,RB,matchup
roll3_rush_ypc,2159.448338730352,2.1720143432071297,RB,matchup
def_explosive_pass_rate_roll4,2137.8694328149913,2.15030986789357,RB,matchup
wr_deep_matchup,2088.8746537390966,2.101029984236952,RB,matchup
def_rush_epa_allowed_roll8,2084.195058284447,2.0963231578380017,RB,matchup
def_rush_epa_allowed_roll4,2023.1427164671109,2.034915547507483,RB,matchup
def_pass_success_allowed_roll4,1993.2949422811012,2.004894086710261,RB,matchup
def_rush_success_allowed_roll4,1969.5924401932034,1.9810536578463411,RB,matchup
def_qb_hit_rate_roll4,1958.4508131969244,1.9698471968217581,RB,matchup
underdog_target_interaction,1896.7470635655015,1.9077843880824161,RB,matchup
team_spread_line,1867.611047277345,1.8784788269598005,RB,matchup
roll3_rush_td_rate,1821.4897298412052,1.832089125848542,RB,matchup
def_sack_rate_roll4,1761.0404421881892,1.7712880789032837,RB,matchup
def_redzone_pass_td_rate_roll4,1738.0698456700245,1.7481838146267825,RB,matchup
wr_redzone_matchup,1656.1676823561622,1.6658050560027193,RB,matchup
favorite_points,1544.9509455123775,1.553941139975249,RB,matchup
te_redzone_matchup,1543.7727545713583,1.552756093045886,RB,matchup
roll3_ngs_time_to_los,1491.1036454377543,1.4997804981078795,RB,matchup
def_redzone_rush_td_rate_roll4,1233.2558315574843,1.2404322469513691,RB,matchup
underdog_points,1220.7013288322585,1.2278046885597402,RB,matchup
is_home,1119.01369491735,1.125525326081527,RB,matchup
roll3_rec_td_rate,1078.1064293522786,1.0843800178307363,RB,matchup
season_week,1073.8721169202274,1.0801210655922944,RB,matchup
ngs_available,1067.5617013815931,1.073773929235437,RB,matchup
roll3_catch_rate,1024.1993263979166,1.030159225085836,RB,matchup
team_skill_out_count,720.7442754354082,0.7249383446471117,RB,matchup
rest_days,613.8035721853162,0.6173753447985372,RB,matchup
team_skill_questionable_count,597.7416856680089,0.6012199928649651,RB,matchup
practice_risk,215.45406185089334,0.21670780645649482,RB,matchup
qb_pass_matchup,158.50183482560226,0.15942416981749516,RB,matchup
qb_pressure_matchup,158.05766728337392,0.15897741762842715,RB,matchup
injury_risk,135.57203537667738,0.1363609400116782,RB,matchup
roll3_carry_share,168633.5686154633,15.053934859480528,RB,opportunity_carries
roll3_carries,148643.87904476438,13.26945335245189,RB,opportunity_carries
roll5_carries,144357.06570422815,12.886769113999103,RB,opportunity_carries
ngs_available,125244.71161511874,11.18060742963802,RB,opportunity_carries
roll3_offense_pct,102707.12441483783,9.168674856613055,RB,opportunity_carries
roll3_offense_snaps,100578.27888924933,8.97863261217011,RB,opportunity_carries
roll3_ngs_time_to_los,69845.01066384262,6.235070807229509,RB,opportunity_carries
roll3_ngs_box_rate,58567.15030740873,5.228295130512285,RB,opportunity_carries
roll5_offense_pct,50087.79363152921,4.471342146020402,RB,opportunity_carries
season_to_date_fppg,31338.606075695385,2.7976003729495815,RB,opportunity_carries
roll5_fppg,28786.813340721055,2.5698015905209406,RB,opportunity_carries
roll3_fppg,25321.695434916714,2.260470182411163,RB,opportunity_carries
prior_game_fppg,10364.346406572864,0.9252261987138658,RB,opportunity_carries
preseason_prior_fppg,5888.397031328942,0.5256577682852642,RB,opportunity_carries
season_carries_prior,4435.102449330767,0.39592202143094324,RB,opportunity_carries
roll3_team_carries,2772.8889258181634,0.24753606061097044,RB,opportunity_carries
roll5_targets,2744.7926154561887,0.24502790028765192,RB,opportunity_carries
roll3_fppg_sd,2544.530481322559,0.22715048034795568,RB,opportunity_carries
