position,feature,n,coverage,outcome_pearson,outcome_spearman,residual_correlation,year_sign_stability,median_year_abs_residual_cor,signal_score,target_year
QB,season_to_date_pass_td_rate,633,1,0.3439988675064127,0.35648373301613867,0.009333864948670353,0.5,0.009333864948670353,0.18483146983485962,2023
QB,prior_rec_td_rate,633,1,-0.2613288641255506,-0.26500714065990477,-0.05603918982185245,0.5,0.05603918982185245,0.18466160682380653,2023
QB,roll3_pass_ypa,633,1,0.29034138535918236,0.2757687786188756,0.04343329827074546,0.5,0.04343329827074546,0.1842420168478279,2023
QB,opp_pos_residual_roll8,633,1,0.117154696801516,0.12353465728949317,0.12779518371304127,0.5,0.12779518371304127,0.18119935534118473,2023
QB,prior_pass_td_rate,633,1,0.26424075541171516,0.22684453525879314,-0.05267798843035646,0.5,0.05267798843035646,0.17875757384185995,2023
QB,implied_team_total,633,1,0.31744783050383124,0.3270809495988562,-0.003981952444947682,0.5,0.003981952444947682,0.1735803972872736,2023
QB,roll3_ngs_air_yards,633,1,0.2854009345833674,0.20023746687542246,0.03875944274990686,0.5,0.03875944274990686,0.17171835776250557,2023
QB,games_played_prior,633,1,0.26859801101329667,0.28582844151524495,-0.0193116375577651,0.5,0.0193116375577651,0.16826845562099357,2023
QB,prior_rush_td_rate,633,1,0.2205486212329047,0.2745525650500241,0.036736280771563996,0.5,0.036736280771563996,0.16785001405228592,2023
QB,season_to_date_rush_ypc,633,1,0.2439549009606362,0.26299079827576294,0.028096049734301357,0.5,0.028096049734301357,0.16592360531987183,2023
QB,def_pass_success_allowed_roll4,633,1,0.09475375508000444,0.10623142333029978,0.11077344336569817,0.5,0.11077344336569817,0.16572884056517076,2023
QB,wr_redzone_matchup,633,1,0.20971635115802315,0.20269683919650727,0.04521469063628525,0.5,0.04521469063628525,0.1619406437619819,2023
QB,te_redzone_matchup,633,1,0.20971635115802315,0.20269683919650727,0.04521469063628525,0.5,0.04521469063628525,0.1619406437619819,2023
QB,prior_yards_per_attempt,633,1,0.22724406042161618,0.22662287194342864,-0.033996571898616906,0.5,0.033996571898616906,0.16179679005334163,2023
QB,favorite_rush_interaction,633,1,0.26148742555037907,0.28036080467796587,0.00846518327207564,0.5,0.00846518327207564,0.1603668839600657,2023
QB,opp_pos_residual_roll4,633,1,0.09108997342712477,0.09990013826741112,0.10347814514516686,0.5,0.10347814514516686,0.1602971916388136,2023
QB,team_skill_out_count,633,1,-0.15536717621891824,-0.14894905904062342,-0.0697498104873549,0.5,0.0697498104873549,0.15920237457232528,2023
