Feature,Gain,Cover,Frequency,position
roll3_ngs_time_to_los,0.0010118980733358636,0.010402608832795843,0.01029678982434888,RB
season_to_date_rec_td_rate,9.86576116643726e-4,0.015303143723801621,0.010902483343428226,RB
def_deep_epa_allowed_roll4,9.813301377227675e-4,0.0017580009748551317,0.009085402786190187,RB
wr_redzone_matchup,9.766466278392318e-4,0.004071837473781345,0.005451241671714113,RB
rb_receiving_matchup,9.425893180755486e-4,0.008891924442354388,0.0072683222289521504,RB
opp_pos_residual_roll4,9.169428422578797e-4,0.0010544151833418109,0.0060569351907934586,RB
def_redzone_pass_td_rate_roll4,8.906619295298485e-4,8.694092980396778e-4,0.008479709267110842,RB
is_home,8.541896849824671e-4,2.916492846596563e-4,0.0036341611144760752,RB
snap_trend,7.967334093256335e-4,0.004780385226963239,0.006662628709872804,RB
def_middle_epa_allowed_roll4,7.628210741383924e-4,0.0040848590618496475,0.0072683222289521504,RB
prior_catch_rate,7.287162090200163e-4,0.0018792448966834425,0.005451241671714113,RB
opp_pos_residual_roll8,6.97823927419816e-4,0.005000123013550546,0.004845548152634767,RB
prior_rush_td_rate,6.720080645074585e-4,0.004437598749233751,0.006662628709872804,RB
def_deep_pass_rate_roll4,6.296139663318274e-4,0.002636285857481995,0.005451241671714113,RB
role_fppg_trend,5.910629064009071e-4,0.0023345731216697077,0.004845548152634767,RB
def_pass_epa_allowed_roll8,5.596782768263323e-4,7.835122901633366e-4,0.0060569351907934586,RB
roll3_rec_td_rate,4.8488282251833075e-4,0.010161172431602177,0.005451241671714113,RB
roll3_ypt,4.75227180992984e-4,0.002568224137360356,0.0036341611144760752,RB
roll3_team_pass_attempts,4.632129900984233e-4,0.0025503203291726683,0.004239854633555421,RB
def_pass_success_allowed_roll4,4.464160521450911e-4,0.0034678641570224243,0.005451241671714113,RB
season_to_date_catch_rate,3.9991485076674326e-4,6.574908786335374e-4,0.004845548152634767,RB
def_middle_pass_rate_roll4,3.876967605176561e-4,5.039158173108449e-4,0.004239854633555421,RB
rb_rush_matchup,3.845562314416331e-4,0.002863606890315894,0.0024227740763173833,RB
prior_yards_per_target,3.66279652488768e-4,0.003230735709462169,0.004845548152634767,RB
carry_trend,3.3357752605180796e-4,0.0011143798733430433,0.0030284675953967293,RB
te_middle_matchup,3.29493277121492e-4,0.002553314855133616,0.004239854633555421,RB
games_played_prior,3.1915428708007666e-4,0.0025329180491715938,0.0036341611144760752,RB
preseason_middle_target_rate,2.8474345750429265e-4,9.862332938196982e-4,0.0030284675953967293,RB
def_pass_epa_allowed_roll4,2.516158722386971e-4,7.206289957958931e-4,0.0024227740763173833,RB
preseason_redzone_target_rate,2.4750943273328484e-4,4.911151101504993e-4,0.0024227740763173833,RB
season_to_date_ypt,2.3292781538519942e-4,0.0024449144159972764,0.0024227740763173833,RB
te_redzone_matchup,2.3208330384973783e-4,0.0013332465511504907,0.0018170805572380376,RB
target_trend,2.2915020903779826e-4,0.0010726004744231914,0.0018170805572380376,RB
