position,feature,standardized_coefficient,raw_unit_slope,lambda,target_year
QB,roll3_ngs_time_to_throw,0.24314631366573858,0.20712395761796865,500,2025
QB,tw_draft_capital_log_24,0.11137856841682185,0.0707812915842561,500,2025
QB,roll3_ngs_air_yards,-0.1339499692287162,-0.03792346124125257,500,2025
QB,direct_gap_vs_base_232,0.6637742571951767,0.25446245644189625,500,2025
QB,season_to_date_fppg,-0.41289329074351533,-0.0632580476283707,500,2025
QB,roll5_carries,0.19105683671794146,0.06959374461346018,500,2025
QB,roll3_ngs_aggressiveness,-0.05738930160504279,-0.007617996692366517,500,2025
QB,roll3_carry_share,-0.22032709279044072,-2.3718089342061743,500,2025
QB,expected_fppg_232,-0.14009164890354453,-0.02736316456193362,500,2025
QB,season_to_date_rush_ypc,0.26444079148418337,0.09899499701050352,500,2025
QB,prior_game_fppg,0.02576147670776155,0.0030256904188502316,500,2025
QB,season_to_date_pass_ypa,-0.0023987497817917394,-8.02494443134705e-4,500,2025
QB,opportunity_per_snap,0.026861144047894456,0.1269295631045353,500,2025
QB,talent_prior_fppg_24,0.25903896596989645,0.0479249920567917,500,2025
QB,tw_draft_round_24,-0.1517483463202215,-0.1025028478414571,500,2025
QB,season_carries_prior,-0.05852993106900581,-0.002311999115345771,500,2025
QB,is_home,0.5089303255152283,1.0176009595729756,500,2025
QB,roll3_rush_ypc,-0.17060080041231201,-0.05780918311709974,500,2025
QB,favorite_rush_interaction,0.13321166904698523,0.0071427699793586786,500,2025
QB,legacy_gap_vs_base_232,0.39578826165275177,0.32691519116399054,500,2025
QB,projected_touch_opportunities_232,0.16172042282645507,0.0839261195187013,500,2025
RB,projected_opportunities_232,-0.16722285718311924,-0.028780158486570416,500,2025
RB,season_to_date_fppg,-0.09768044250663677,-0.017635167439602053,500,2025
RB,roll3_offense_pct,0.25611853470308227,1.024150226839535,500,2025
RB,roll3_carry_share,0.14913132194020212,0.6355232818790445,500,2025
RB,direct_gap_vs_base_232,0.617765686042586,0.38447049989986654,500,2025
RB,roll3_ngs_time_to_los,-0.06638429181091497,-0.04761621755026831,500,2025
RB,talent_prior_fppg_24,0.46833932409578244,0.1169969303602602,500,2025
RB,season_carries_prior,-0.027419803682581508,-4.564949331700577e-4,500,2025
RB,tw_draft_capital_log_24,0.051221790935551195,0.04231689319382893,500,2025
RB,favorite_rush_interaction,0.07662151501295672,0.0020321401179331107,500,2025
RB,xfp_gap_vs_base_232,0.3250174308202345,0.18562972000529107,500,2025
RB,roll5_targets,0.016198710844414523,0.009115626958681948,500,2025
RB,season_to_date_rush_ypc,0.13898453088911353,0.06667677449900353,500,2025
RB,season_targets_prior,0.03513044667956491,0.002163333282891183,500,2025
