position,feature,n,coverage,outcome_pearson,outcome_spearman,residual_correlation,year_sign_stability,median_year_abs_residual_cor,signal_score
QB,xfp_gap_vs_base_232,2624,1,-0.04734205533193592,-0.04617377312241736,0.050914034705607014,0.5,0.07278716969497401,0.1192524553214591
QB,prior_yards_per_target,2624,1,-0.10915494221221274,-0.11036944348768693,-0.015370742622607497,0.5,0.03656430216752045,0.11846548721364614
QB,favorite_points,2624,1,0.11575728755071786,0.12974959409493392,-0.0011321227037999198,0.5,0.024893942569429613,0.11440511252417421
QB,wr_redzone_matchup,2624,1,0.09401970807617246,0.09771334584741799,0.016709764446094698,0.5,0.030990000380477837,0.11426754299419159
QB,te_redzone_matchup,2624,1,0.09401970807617246,0.09771334584741799,0.016709764446094698,0.5,0.030990000380477837,0.11426754299419159
QB,practice_risk,2624,1,0.033795774601076675,0.03471469351080719,-0.006326195431056622,0.6666666666666666,0.011523716450266517,0.1142481622384928
QB,team_skill_questionable_count,2624,1,-0.0060699880436956306,-0.00902197455760304,0.005144925415189127,0.6666666666666666,0.026679828365464082,0.10715843406815909
QB,role_fppg_trend,2624,1,0.07205874280818286,0.057386781066191724,-0.003960403877544016,0.5,0.058484472650518905,0.10248761644336261
QB,season_week,2624,1,-0.03748456099267147,-0.040194444933815694,-0.00913363663245176,0.5,0.06410078068523893,0.09709076892386592
QB,expected_team_plays,2624,1,0.028223081540790028,0.06469816021352608,0.00629690679681075,0.5,0.061936357438197226,0.09687117770534988
QB,rest_days,2624,1,-0.009242751657234568,-0.02188610684857074,-0.017054272979394113,0.5,0.03462445165507285,0.09042689612636534
QB,expected_team_pass_rate,2624,1,-0.027198763151622635,-0.02189617520355584,-0.007895941968196589,0.5,0.03090866699456407,0.08916735897686365
QB,te_middle_matchup,2624,1,0.02934246127910361,0.03227217930002999,0.005562370814091593,0.5,0.01761020972831262,0.08841839238541473
QB,roll3_team_pass_attempts,2624,1,0.011591854843700962,0.023563107137251738,7.500055161526889e-4,0.5,0.06916983661342617,0.08716859287194771
QB,def_redzone_rush_td_rate_roll4,2624,1,-0.022500365513969965,-0.01983511246716546,-0.004572190925096671,0.5,0.028203989487846033,0.08630816415365256
QB,def_redzone_pass_td_rate_roll4,2624,1,0.008230969494179258,0.02039686622807104,0.006739083424210828,0.5,0.020956719635544928,0.08405745796077016
QB,def_rush_epa_allowed_roll8,2624,1,0.0043789993975310495,0.007772180728248663,1.7769276183293045e-4,0.5,0.06397889494841011,0.08319873281661125
QB,target_trend,2624,1,0.0017196158309363797,0.0017701653541018277,0.0019618825758228554,0.5,0.05394297258692622,0.08179909510987368
QB,season_to_date_rec_td_rate,2624,1,0.043709171140038826,0.04375342829681496,0.016252435673625266,0.3333333333333333,0.04529772628616127,0.07496143088257227
QB,roll5_targets,2624,1,0.02970769110652122,0.033075993793794424,0.004852555709277412,0.25,0.04485698449038041,0.053485852172642026
QB,def_explosive_pass_rate_roll4,2624,1,0.01739791356368667,0.016123781824738045,0.010431018654192685,0.25,0.012243765763868406,0.04848481323120571
QB,wr_volume_matchup,2624,1,0.004984110861643649,-0.0029462586030671633,-0.007233927947333367,0.25,0.023850996282187627,0.04439105819198269
RB,projected_opportunities_232,6166,1,0.6278979792205256,0.6967928704811588,0.06124540835323846,1,0.060419355855771906,0.3802391500619682
RB,projected_touch_opportunities_232,6166,1,0.6278979792205256,0.6967928704811588,0.06124540835323846,1,0.060419355855771906,0.3802391500619682
RB,season_to_date_fppg,6166,1,0.6067009589125031,0.6748567707179408,0.05294573719655529,1,0.05539364685446796,0.36955393151430016
RB,roll3_offense_pct,6166,1,0.5567343132432051,0.6057015019198175,0.07962220984581299,1,0.07485398583719965,0.3662117496284909
RB,roll3_carry_share,6166,1,0.566997611057091,0.6167816426902732,0.07113720093374631,1,0.0725292753025304,0.36533803506354806
RB,roll5_offense_pct,6166,1,0.553791167167981,0.6021801582318779,0.07745023437302564,1,0.07417563084124273,0.36421419763004775
RB,roll3_offense_snaps,6166,1,0.5507052057539087,0.6007168460322705,0.07573293697525217,1,0.0751146407335832,0.3628042442717978
RB,roll5_carries,6166,1,0.5623925550140065,0.6096628865812692,0.06335636282065614,1,0.06668141153053772,0.3595687107146225
RB,roll3_carries,6166,1,0.5616310857398158,0.6101716456110666,0.06084438552621563,1,0.0655965840604175,0.3582538247993336
RB,ngs_available,6166,1,0.5346836780262687,0.574602129878187,0.05461989382886098,1,0.057139542096128745,0.34548822406271107
RB,roll3_ngs_time_to_los,6166,1,0.4861887911250289,0.5136286230208424,0.05604957632097151,1,0.05491747457607202,0.3298634739670507
RB,expected_fppg_232,6166,1,0.6147063401522816,0.6868697685462126,0.0439069295921711,0.75,0.04197538213342338,0.32952716998277554
RB,roll5_targets,6166,1,0.46267853224275673,0.5311461212167945,0.05366008767721472,1,0.0691624754483536,0.32808295734929355
RB,roll5_fppg,6166,1,0.6023464700889671,0.6750689456694521,0.03497441107106726,0.75,0.05497715815858452,0.32316683889418707
RB,roll3_target_share,6166,1,0.45871097337940486,0.5260877445996409,0.04385503179060365,1,0.04989747127262288,0.3204230159932837
RB,season_carries_prior,6166,1,0.4515038534601671,0.5348431957956351,0.039795028935392045,1,0.043511247926550915,0.31771076493188777
RB,season_targets_prior,6166,1,0.40240127054352814,0.4802052957403332,0.039609376151557046,1,0.0442642869557349,0.3023075121504492
RB,preseason_prior_fppg,6166,1,0.5376681084426503,0.5822023817857342,0.03196548599541808,0.75,0.043079394264551915,0.2978369534583585
RB,roll3_ngs_box_rate,6166,1,0.3645727440797921,0.49758903188052284,0.038261358817361084,1,0.030232227940963773,0.2955746120219342
RB,roll3_targets,6166,1,0.44677475757563145,0.5194003403755335,0.044286228267826515,0.75,0.05055296918422669,0.2802315968476222
RB,roll3_fppg,6166,1,0.5888005545885072,0.665515238447991,0.02032546972871767,0.5,0.05589146508493695,0.2755815363261068
RB,favorite_rush_interaction,6166,1,0.3275484929023093,0.2619307218655975,0.04842323142509144,1,0.041233594128958925,0.2663042289004744
RB,prior_game_fppg,6166,1,0.5125883489135286,0.60854837435740194,0.04272265118802333,0.5,0.056225480637442225,0.2651394488256781
RB,season_to_date_rush_ypc,6166,1,0.23496311174765958,0.3041347367166836,0.042488933584040246,1,0.055310550473527564,0.2534406036807516
RB,projected_td_points_232,6166,1,0.5181505126300464,0.6070784974740854,0.007634855946909369,0.5,0.0482767484058679,0.2493798719869946
RB,roll3_rush_ypc,6166,1,0.22630937643109447,0.32498906880523437,0.033232683106876534,1,0.035154764163027784,0.24820455982862236
RB,roll3_fppg_sd,6166,1,0.378457524712201,0.42073926548321605,0.02676754522994544,0.75,0.047500034763646906,0.24790646513602224
RB,roll3_catch_rate,6166,1,0.25468185958754774,0.22650220067719332,0.044210993137793905,1,0.03748307610029128,0.24666625332905817
RB,opportunity_per_snap,6166,1,0.24241781690073946,0.3096505743824946,0.023836482327683046,1,0.020831354719500872,0.2436028284874399
RB,season_to_date_catch_rate,6166,1,0.23912349714776754,0.204476083967412,0.0456072681702888,1,0.04670688133126548,0.2427733183724441
RB,direct_gap_vs_base_232,6166,1,-0.08196659614067701,-0.08366527826124998,0.11354059814705222,1,0.10070868979061726,0.23595795884190707
RB,season_to_date_ypt,6166,1,0.21027630779743947,0.29600230503275937,0.0131570894709992,0.75,0.013561951350212407,0.1931468974044411
RB,model_disagreement_23,6166,1,0.35185639630892535,0.41464516062665135,5.858455242856982e-4,0.5,0.04663031053635742,0.193018232150369
