player_id,player_display_name,position,current_team,dynasty_value,year1_fppg,year3_fppg,elite_probability,starter_probability,breakout_probability,confidence,overall_rank,age,is_rookie,projected_fppg,model_version,gsis_id,normalized_name,dynasty_replacement_fppg,dynasty_year1_surplus,dynasty_career_surplus_points,dynasty_career_projected_points,dynasty_elite_multiplier,dynasty_format_multiplier,dynasty_age_survival_year4,dynasty_value_method,model_dynasty_value,model_dynasty_rank,sleeper_id,market_rank_proxy,market_value_proxy,model_market_gap,model_market_gap_pct,value_signal
00-0033873,Patrick Mahomes,QB,KC,1047.7133239992097,17.073766186628937,17.073766186628937,0.2314784152188308,0.5515532678282711,0.12996703097519707,Low,11,30.95687885010267,0,17.073766186628937,2.2,00-0033873,patrickmahomes,16.104734588130846,0.9690315984980913,43.49184695391245,1256.3263327135023,1.4867438847637613,1.03,0.8314745617717043,career_surplus_v2,4841.108135579215,30,NA,NA,NA,NA,NA,MODEL
00-0036358,CeeDee Lamb,WR,DAL,605.0647354320951,11.56826615205397,10.3484745707871,0.4578810181219962,0.8412370031709686,0.13419575041705337,Medium,65,27.40041067761807,0,11.56826615205397,2.2,00-0036358,ceedeelamb,8.41620867380963,3.152057478244341,115.82212641407321,662.791956306698,1.4821264094413742,1,0.7158489103062433,career_surplus_v2,4703.476457373862,31,NA,NA,NA,NA,NA,MODEL
00-0037834,Brock Purdy,QB,SF,808.7672313691626,16.312876403690645,16.47600516772755,0.0970784225651303,0.3343886666773152,0.17746928239340692,Low,32,26.680355920602327,0,16.312876403690645,2.2,00-0037834,brockpurdy,16.104734588130846,0.20814181555979872,13.184746872285322,1505.4643629714685,1.4075700097304198,1.03,1,career_surplus_v2,4605.389543396871,32,NA,NA,NA,NA,NA,MODEL
00-0036410,Tee Higgins,WR,CIN,652.3848634190916,11.688970403695642,10.176836929234092,0.32003919965171657,0.6691739954275361,0.02769118132140576,High,53,27.61943874058864,0,11.688970403695642,2.2,00-0036410,teehiggins,8.41620867380963,3.272761729886012,113.84614928445184,646.2663433178243,1.461816525318637,1,0.6943435207510419,career_surplus_v2,4536.8367604060995,33,NA,NA,NA,NA,NA,MODEL
00-0039910,Jayden Daniels,QB,WAS,714.5031239292604,16.1083112421549,16.432088298122217,0.2609329400417436,0.4312905934757407,0.2650736314811217,Low,41,25.70294318959617,0,16.1083112421549,2.2,00-0039910,jaydendaniels,16.104734588130846,0.003576654024055159,6.274449496991473,1524.4040232081222,1.3792408020169604,1.03,1,career_surplus_v2,4484.856474795468,34,NA,NA,NA,NA,NA,MODEL
00-0040129,Emeka Egbuka,WR,TB,707.5162159331136,9.980801892223877,9.980801892223877,0.07426460677645685,0.5450132069948004,0.187018654381488,High,44,23.88227241615332,0,9.980801892223877,2.2,00-0040129,emekaegbuka,8.41620867380963,1.564593218414247,95.24642058124655,839.6932058737611,1.4008661744607886,1,1,career_surplus_v2,4465.781111003664,35,NA,NA,NA,NA,NA,MODEL
00-0037239,Chris Olave,WR,NO,685.0079970268378,10.56424207991791,10.44766847873842,0.28313590885551815,0.6071756523148876,0.05193382386646539,High,48,26.17932922655715,0,10.56424207991791,2.2,00-0037239,chrisolave,8.41620867380963,2.148033406108281,106.44625334323196,727.0534656582499,1.410300362143028,1,0.8485418899098577,career_surplus_v2,4438.2631612872165,36,NA,NA,NA,NA,NA,MODEL
00-0039893,Brian Thomas Jr.,WR,JAX,624.0962242156011,9.944730396954888,9.944730396954888,0.1015716923793112,0.5136890557641072,0.2612995833581429,High,58,23.89869952087611,0,9.944730396954888,2.2,00-0039893,brianthomas,8.41620867380963,1.5285217231452588,92.78466620011241,836.2975213441686,1.3857698984733724,1,1,career_surplus_v2,4367.080363912349,37,NA,NA,NA,NA,NA,MODEL
00-0039064,Zay Flowers,WR,BAL,710.7203385652117,10.419593286586563,10.419593286586563,0.237902648555077,0.747103967541587,0.04184386310098842,High,43,25.971252566735114,0,10.419593286586563,2.2,00-0039064,zayflowers,8.41620867380963,2.0033846127769337,102.90407326333202,747.4387131161204,1.3850551310639316,1,0.8734899627229051,career_surplus_v2,4307.197388051069,38,NA,NA,NA,NA,NA,MODEL
00-0032764,Derrick Henry,RB,BAL,469.4666578076623,16.507498467294663,3.3427684396271693,0.49455781052011055,0.7747012085104539,0.11394265656059484,Medium,111,32.6570841889117,0,16.507498467294663,2.2,00-0032764,derrickhenry,10.235634182500744,6.271864284793919,129.67721317449084,491.42087993377254,1.3830047247014845,1,0.512,career_surplus_v2,4096.021341459635,39,NA,NA,NA,NA,NA,MODEL
