feature,importance,importance_pct,position,component
fppg_trend,0.2028673071552506,0.5747805810823822,WR,target_share
two_year_games,0.18724576745018576,0.5305203313901672,WR,target_share
rec_prior_ngs_avg_cushion,0.1785789779230161,0.5059648601789629,WR,target_share
rec_prior_route_vertical,0.11332460257194628,0.32108071936591204,WR,target_share
rec_prior_deep_target_rate,0.10694134537955734,0.3029951424945642,WR,target_share
rec_prior_avg_depth_target,0.09620103098356479,0.2725647876182522,WR,target_share
rec_prior_redzone_target_rate,0.0953713756557362,0.2702141389202712,WR,target_share
is_rookie,0.0897409249546272,0.2542614762112302,WR,target_share
rec_prior_route_in_break,0.08040143907631193,0.22780006557082275,WR,target_share
rec_prior_route_screen,0.07606187540073762,0.21550485168906228,WR,target_share
receiver_context_available,0.05469385209233234,0.1549631851878751,WR,target_share
rec_prior_route_hitch,0.027633914598712735,0.07829471250620844,WR,target_share
rec_prior_route_out_break,0.025500529907766828,0.07225022899859361,WR,target_share
prior_carries_pg,140.02921665823135,30.58166718655832,WR,carries_pg
prior_rush_yd_pg,95.45173281013018,20.84617192642203,WR,carries_pg
two_year_carries_pg,59.800786635479504,13.060186995433828,WR,carries_pg
draft_capital_score,17.920628038589403,3.913773821843564,WR,carries_pg
draft_pick,15.54553960437077,3.395066613681456,WR,carries_pg
career_games_before,11.956184770207493,2.6111698129105356,WR,carries_pg
rec_prior_avg_depth_target,9.93928645752089,2.170689501589113,WR,carries_pg
rec_prior_route_vertical,8.260251536814417,1.8039968329799698,WR,carries_pg
age,8.143883167696325,1.778582574296385,WR,carries_pg
age_squared,7.6504678435808,1.6708231824569122,WR,carries_pg
rec_prior_route_in_break,7.638163745980336,1.6681360302551917,WR,carries_pg
rec_prior_redzone_target_rate,7.195877331621094,1.5715429317014589,WR,carries_pg
recent_weighted_fppg,7.181117231011885,1.568319400960923,WR,carries_pg
prior_fppg,6.83204953701215,1.4920847957961034,WR,carries_pg
two_year_fppg,6.70382918062915,1.4640821235036685,WR,carries_pg
rec_prior_ngs_avg_separation,6.6667492926527006,1.4559840649665112,WR,carries_pg
rec_prior_ngs_avg_cushion,5.337606384593268,1.165706028513192,WR,carries_pg
fppg_trend,4.821477273598551,1.0529860613919102,WR,carries_pg
draft_round,4.6135981216697335,1.0075863141746755,WR,carries_pg
experience,4.437731940512062,0.969178036603134,WR,carries_pg
prior_games,4.399323645363892,0.9607898607105896,WR,carries_pg
rec_prior_route_screen,4.388783031429087,0.9584878443529393,WR,carries_pg
two_year_games,3.882023197812238,0.8478140796555977,WR,carries_pg
rec_prior_deep_target_rate,3.1631096963661136,0.6908070352556511,WR,carries_pg
receiver_context_available,2.2257792352805925,0.48609884014588695,WR,carries_pg
rec_prior_route_hitch,1.7645555822634957,0.38536994519274664,WR,carries_pg
is_rookie,1.3931874715983195,0.30426504269384536,WR,carries_pg
rec_prior_route_out_break,0.5432046001745016,0.1186331159538596,WR,carries_pg
prior_target_share,1.6352097674238182,14.852753767897871,TE,target_share
prior_wopr,1.6131016023736335,14.651943365286492,TE,target_share
prior_targets_pg,1.2980397371576173,11.790208804416993,TE,target_share
prior_fppg,1.1261459105786562,10.228882098045057,TE,target_share
recent_weighted_fppg,1.1176237609867898,10.15147466568817,TE,target_share
rec_prior_ngs_avg_separation,0.6898995359336613,6.266418007001702,TE,target_share
two_year_targets_pg,0.5602876945416501,5.089142281311627,TE,target_share
prior_games,0.3901921766951571,3.5441497709151046,TE,target_share
two_year_fppg,0.3348022142961698,3.041037883306099,TE,target_share
draft_pick,0.3337438381454382,3.0314245598819136,TE,target_share
draft_capital_score,0.32794829636131045,2.978783145437071,TE,target_share
draft_round,0.23718465842475694,2.154369059729826,TE,target_share
age,0.21225127934805246,1.9278969902708833,TE,target_share
age_squared,0.21031372465128878,1.9102980109862846,TE,target_share
career_games_before,0.16116471714755928,1.4638732641848204,TE,target_share
fppg_trend,0.1292748450516998,1.1742147583676916,TE,target_share
experience,0.12311332076488184,1.1182490927447375,TE,target_share
two_year_games,0.09732549758671317,0.8840160325552455,TE,target_share
rec_prior_short_target_rate,0.0865176118404893,0.7858470581898723,TE,target_share
rec_prior_middle_target_rate,0.07244198175511908,0.6579968753259426,TE,target_share
rec_prior_route_screen,0.07163658976835649,0.6506814292563727,TE,target_share
rec_prior_redzone_target_rate,0.06101111987476851,0.554169354083102,TE,target_share
rec_prior_route_in_break,0.056027826963825314,0.5089056674087263,TE,target_share
receiver_context_available,0.02320072400950472,0.210734211484695,TE,target_share
is_rookie,0.022789809906990133,0.2070018426437107,TE,target_share
rec_prior_route_hitch,0.018223759207615153,0.16552800357999312,TE,target_share
