captured_at,model_version,week,player_id,player_display_name,position,team,opponent,projection,incumbent_projection,controller_projection_232,floor,ceiling,expected_abs_error,projection_confidence,weekly_position_rank,matchup_grade
2026-09-25 10:28:22 +0000,2.5,3,00-0040244,Moliki Matavao,TE,NO,LV,0.9083992159261902,0.9083992159261902,1.2984696111172895,0,3.5915203330221708,1.9902699491608615,High,97,Neutral
2026-09-25 10:28:22 +0000,2.5,3,00-0038394,Will Mallory,TE,IND,HOU,0.9057843328465366,0.9057843328465366,1.3384824931560133,0,3.3781710868960495,1.9902699491608615,High,98,Neutral
2026-09-25 10:28:22 +0000,2.5,3,00-0038720,Julian Hill,TE,NE,JAX,0.9018230725941744,0.9018230725941744,1.3526821238969773,0,3.6020254585071227,2.8419404727693593,Medium,99,Neutral
2026-09-25 10:28:22 +0000,2.5,3,00-0038564,Cameron Latu,TE,NE,JAX,0.8920257380837343,0.8920257380837343,1.0431574831355874,0,3.4448425922781,1.9902699491608615,High,101,Neutral
2026-09-25 10:28:22 +0000,2.5,3,00-0038145,Thomas Odukoya,TE,KC,MIA,0.8871866287574439,0.8871866287574439,0.9079387110850148,0,3.10249930004521,2.8419404727693593,Medium,102,Neutral
2026-09-25 10:28:22 +0000,2.5,3,00-0041398,Riley Nowakowski,TE,PIT,CIN,0.8817546296752574,0.8817546296752574,1.24080171248976,0,3.212727006986106,1.9902699491608615,High,103,Neutral
2026-09-25 10:28:22 +0000,2.5,3,00-0036876,Kylen Granson,TE,TEN,NYG,0.8710035066977433,0.8710035066977433,1.0266173188120755,0,3.4868294088274783,1.9902699491608615,High,104,Neutral
2026-09-25 10:28:22 +0000,2.5,3,00-0037086,Grant Calcaterra,TE,PHI,CHI,0.8549996397178625,0.8549996397178625,1.2805108813861386,0,3.800865584123766,1.9902699491608615,High,105,Neutral
2026-09-25 10:28:22 +0000,2.5,3,00-0041170,Hayden Large,TE,CHI,PHI,0.8261587383276154,0.8261587383276154,1.1878154069445088,0,3.044408215767527,2.8419404727693593,Medium,106,Neutral
2026-09-25 10:28:22 +0000,2.5,3,00-0040225,Thomas Fidone II,TE,NYG,TEN,0.821020346944036,0.821020346944036,0.9540466554133812,0,3.300687486382424,1.9902699491608615,High,107,Neutral
2026-09-25 10:28:22 +0000,2.5,3,00-0041579,Seydou Traore,TE,MIA,KC,0.820444155559169,0.820444155559169,1.2442372517716724,0,3.125493491724505,1.9902699491608615,High,108,Neutral
2026-09-25 10:28:22 +0000,2.5,3,00-0040938,DJ Rogers,TE,DAL,BAL,0.8200156987356043,0.8200156987356043,1.1611974276017616,0,3.253792671474302,2.8419404727693593,Medium,109,Neutral
2026-09-25 10:28:22 +0000,2.5,3,00-0040215,Gavin Bartholomew,TE,MIN,TB,0.8192419101848386,0.8192419101848386,0.953979390098304,0,3.2980707581032767,1.9902699491608615,High,110,Neutral
2026-09-25 10:28:22 +0000,2.5,3,00-0040240,Caleb Lohner,TE,DEN,LA,0.8154591349182373,0.8154591349182373,0.9394664396379953,0,3.1266856352791597,1.9902699491608615,High,111,Neutral
2026-09-25 10:28:22 +0000,2.5,3,00-0036556,Brevin Jordan,TE,HOU,IND,0.8095949826501385,0.8095949826501385,0.9830494303321567,0,3.0287417826265814,1.9902699491608615,High,112,Neutral
2026-09-25 10:28:22 +0000,2.5,3,00-0039686,Colson Yankoff,TE,WAS,SEA,0.8040615725984404,0.8040615725984404,1.1086791213054337,0,3.380054584254751,2.8419404727693593,Medium,113,Neutral
2026-09-25 10:28:22 +0000,2.5,3,00-0039737,Tip Reiman,TE,ARI,SF,0.7756938187168124,0.7756938187168124,1.1010354818566583,0,3.3369719646133507,1.9902699491608615,High,114,Neutral
2026-09-24 15:52:29 +0000,2.5,3,00-0038589,Josh Whyle,TE,GB,ATL,0.7714492688064893,0.7714492688064893,1.138885408022878,0,2.9810088501437626,1.9902699491608615,High,117,Neutral
2026-09-25 10:28:22 +0000,2.5,3,00-0041131,Carsen Ryan,TE,CLE,CAR,0.7522797939799142,0.7522797939799142,1.0007625162106473,0,3.352794326419843,1.9902699491608615,High,118,Neutral
2026-09-25 10:28:22 +0000,2.5,3,00-0037755,Jelani Woods,TE,NYJ,DET,0.7490307654893833,0.7490307654893833,1.042849313503048,0,3.068978997407706,2.8419404727693593,Medium,119,Neutral
2026-09-25 10:28:22 +0000,2.5,3,00-0038809,Ben Sims,TE,MIA,KC,0.7453175309793334,0.7453175309793334,1.2008323421975808,0,3.2330769064101004,2.8419404727693593,Medium,120,Neutral
2026-09-25 10:28:22 +0000,2.5,3,00-0041314,Tanner Arkin,TE,NE,JAX,0.7423484817162922,0.7423484817162922,1.1565985549045863,0,3.302128737439718,2.8419404727693593,Medium,121,Neutral
2026-09-25 10:28:22 +0000,2.5,3,00-0031484,Chris Manhertz,TE,NYG,TEN,0.738115670766621,0.738115670766621,0.9011414719215778,0,3.1897489235509235,2.8419404727693593,Medium,122,Neutral
2026-09-25 10:28:22 +0000,2.5,3,00-0040509,Ben Yurosek,TE,MIN,TB,0.73775519136613,0.73775519136613,0.9029568921203824,0,2.7100352498300015,2.8419404727693593,Medium,123,Neutral
2026-09-25 10:28:22 +0000,2.5,3,00-0040504,Bryson Nesbit,TE,MIN,TB,0.7372446203655405,0.7372446203655405,0.904247497469534,0,2.949466464855816,2.8419404727693593,Medium,124,Neutral
2026-09-25 10:28:22 +0000,2.5,3,00-0033217,Mo Alie-Cox,TE,IND,HOU,0.730064808092722,0.730064808092722,1.3261719739098194,0,3.043384605947716,4.217192999645614,Low,125,Neutral
2026-09-25 10:28:22 +0000,2.5,3,00-0039050,Payne Durham,TE,TB,MIN,0.7201741421689728,0.7201741421689728,1.038149621269143,0,3.385048297479533,1.9902699491608615,High,126,Neutral
2026-09-25 10:28:22 +0000,2.5,3,00-0041094,Bauer Sharp,TE,TB,MIN,0.7166768180198203,0.7166768180198203,1.015820565938388,0,3.314216355152049,1.9902699491608615,High,127,Neutral
2026-09-25 10:28:22 +0000,2.5,3,00-0040390,Jackson Meeks,TE,DET,NYJ,0.7113055627128392,0.7113055627128392,0.9042200320741968,0,3.3117817996374033,2.8419404727693593,Medium,128,Neutral
2026-09-25 10:28:22 +0000,2.5,3,00-0041180,Quentin Moore,TE,WAS,SEA,0.7055487548777971,0.7055487548777971,1.1264284100695627,0,2.9151083362150705,2.8419404727693593,Medium,129,Neutral
2026-09-25 10:28:22 +0000,2.5,3,00-0033757,Robert Tonyan,TE,PIT,CIN,0.7054345924257075,0.7054345924257075,1.0729364346506531,0,2.80725707951496,2.8419404727693593,Medium,130,Neutral
2026-09-25 10:28:22 +0000,2.5,3,00-0041366,Jameson Geers,TE,ARI,SF,0.6969324957178578,0.6969324957178578,1.1757120074238652,0,3.0019818318831937,2.8419404727693593,Medium,131,Neutral
2026-09-25 10:28:22 +0000,2.5,3,00-0040488,Carter Runyon,TE,LV,NO,0.6751868978164273,0.6751868978164273,0.9337801576712892,0,3.1946217298212605,2.8419404727693593,Medium,132,Neutral
2026-09-24 15:52:29 +0000,2.5,3,00-0040598,Mark Redman,TE,GB,ATL,0.6440404488803547,0.6440404488803547,0.8688067600542307,0,2.8919688939841985,2.8419404727693593,Medium,132,Neutral
2026-09-25 10:28:22 +0000,2.5,3,00-0040853,Carson Towt,TE,IND,HOU,0.6722884555532773,0.6722884555532773,1.121952357395235,0,3.2638173311066234,2.8419404727693593,Medium,133,Neutral
2026-09-24 15:52:29 +0000,2.5,3,00-0039263,McCallan Castles,TE,GB,ATL,0.6378551561449233,0.6378551561449233,0.8571211787581514,0,2.68601911306784,2.8419404727693593,Medium,133,Neutral
