position,feature,n,coverage,outcome_pearson,outcome_spearman,partial_correlation_after_base,residual_correlation,year_sign_stability,median_year_abs_residual_cor,signal_score,standardized_coefficient,raw_unit_slope,lambda,permutation_years,oof_delta_MAE_if_permuted,oof_delta_RMSE_if_permuted,oof_delta_correlation_if_permuted,oof_delta_rank_correlation_if_permuted,unique_predictive_rank_24
QB,prior_pass_td_rate,2624,1,0.16690948807581873,0.19826729606867388,-0.04420371828828899,-0.043612770129857446,1,0.04070553111193892,0.21005799571645367,-0.09186487946262854,-4.007387456681678,500,NA,NA,NA,NA,NA,23
QB,talent_gap_weighted_24,2624,1,-0.015944741896316266,0.0033544779307565615,0.06273869699818692,0.0630932980365413,1,0.05918634998362257,0.20731119714431998,0.20826292578287461,0.04955794115196279,500,NA,NA,NA,NA,NA,23
QB,prior_yards_per_attempt,2624,1,0.12470718450265696,0.167905238931922,-0.03187408832397115,-0.032510538199829436,1,0.0355449677361414,0.19841986287625246,NA,NA,NA,NA,NA,NA,NA,NA,23
QB,opp_blitz_rate_roll4_24,2624,1,0.04573169571046281,0.04585659980890025,0.04413309040364258,0.04401705850141269,1,0.02721080574840782,0.19549569076921924,NA,NA,NA,NA,NA,NA,NA,NA,23
QB,response_rushers5_rate_24,1991,0.758765243902439,0.10724081196348398,0.1618134675236098,0.02893224602700778,0.03192738356632461,1,0.02666799550025218,0.1953483821925767,NA,NA,NA,NA,NA,NA,NA,NA,23
QB,fpoe_roll5_24,582,0.22179878048780488,-0.033888879305286154,-0.043555125543836254,-0.1459493713442613,-0.15014368037064074,0.5,0.15014368037064074,0.19395911326854132,NA,NA,NA,NA,NA,NA,NA,NA,23
QB,model22_gap_vs_base_232,2624,1,0.027493958245482404,0.02149029552001357,0.043023912696284874,0.04312188574172614,1,0.018237680019964227,0.19190947012223356,NA,NA,NA,NA,NA,NA,NA,NA,23
QB,roll3_carries,2624,1,0.32173915867873554,0.33303658450505785,0.05707924694184004,0.045612201347955544,0.75,0.056339475341683945,0.18997431932844097,NA,NA,NA,NA,NA,NA,NA,NA,23
QB,prior_catch_rate,2624,1,-0.05689586106929098,-0.08689552085569122,-0.030597601596251408,-0.030160391104205767,1,0.027712138720929237,0.18905962298541978,NA,NA,NA,NA,NA,NA,NA,NA,23
QB,fpoe_roll3_24,582,0.22179878048780488,-0.022172382488794915,-0.016082083084377106,-0.1412980542815018,-0.14570229224642112,0.5,0.14570229224642112,0.1888243901827721,NA,NA,NA,NA,NA,NA,NA,NA,23
QB,injury_risk,2624,1,-0.00531849273881256,-0.002933542777533091,-0.03636100893420915,-0.036630828559028224,1,0.03520691577461844,0.18734151281320982,NA,NA,NA,NA,NA,NA,NA,NA,23
QB,matchup_abs_232,2624,1,-0.057914438085275695,-0.0501793111190922,-0.03013150494804328,-0.029673155581529376,1,0.021185583585196694,0.18669225352121177,NA,NA,NA,NA,NA,NA,NA,NA,23
QB,rb_receiving_matchup,2301,0.8769054878048781,0.03305290587282485,0.03114586818282257,0.030250523302384712,0.029701711788334025,1,0.022263069113178314,0.18458515006862516,NA,NA,NA,NA,NA,NA,NA,NA,23
QB,response_blitz_rate_24,1991,0.758765243902439,0.021510651405594113,0.011198949853828636,0.027711420364334015,0.02764114786443733,1,0.021139939756378595,0.18155838563734383,NA,NA,NA,NA,NA,NA,NA,NA,23
QB,tw_college_missing_24,2624,1,-0.29623761838177054,-0.30229468340289717,-0.04511041200940734,-0.036361388351799875,0.75,0.028709022554645892,0.17793302044431228,NA,NA,NA,NA,NA,NA,NA,NA,23
QB,talent_weight_24,2624,1,-0.29623761838177054,-0.30229468340289717,-0.04511041200940734,-0.036361388351799875,0.75,0.028709022554645892,0.17793302044431228,NA,NA,NA,NA,NA,NA,NA,NA,23
QB,preseason_prior_fppg,2624,1,0.43292903367359115,0.43485928199168494,0.02075353072554394,0.008108843177442229,0.75,0.04374048323636718,0.17571565251786497,NA,NA,NA,NA,NA,NA,NA,NA,23
QB,season_pass_attempts_prior,2624,1,0.31880536603721926,0.36748493881194677,0.03340540713389509,0.024537660474937772,0.75,0.03634148114955452,0.1751168745985973,NA,NA,NA,NA,NA,NA,NA,NA,23
QB,snap_trend,2624,1,0.04753624999956878,-0.012117016520277399,0.058571901315667696,0.05858754079131001,0.75,0.0559360948948522,0.16642305057206752,NA,NA,NA,NA,NA,NA,NA,NA,23
QB,response_man_rate_24,1991,0.758765243902439,-0.0032990583660354456,-0.005474012059936295,-0.007657342812602729,-0.007532125168245505,1,0.0027728879973813684,0.1655423007735334,NA,NA,NA,NA,NA,NA,NA,NA,23
QB,response_zone_rate_24,1991,0.758765243902439,-0.0032990583660354655,-0.005474012059936295,-0.0076573428126027335,-0.007532125168245514,1,0.0027728879973813662,0.1655423007735334,NA,NA,NA,NA,NA,NA,NA,NA,23
QB,opp_pos_residual_roll4,2624,1,0.05816756160357572,0.06542489033526915,0.04890975922332629,0.048670794566193866,0.75,0.07280780543185567,0.1645897105997441,NA,NA,NA,NA,NA,NA,NA,NA,23
QB,season_to_date_pass_td_rate,2624,1,0.23705452092126778,0.3648349254034315,0.019391613645427134,0.014997193384043943,0.75,0.013311252508842457,0.16071276974558998,NA,NA,NA,NA,NA,NA,NA,NA,23
QB,xfp_roll3_24,582,0.22179878048780488,0.46100457635864345,0.4131496838482453,0.10704338335354444,0.023540552341621612,0.5,0.023540552341621612,0.15997689349087144,NA,NA,NA,NA,NA,NA,NA,NA,23
QB,implied_team_total,2624,1,0.23472117458080025,0.2322539436859648,0.021009505871329034,0.016582094710527198,0.75,0.02046303448425152,0.15700630274082558,NA,NA,NA,NA,NA,NA,NA,NA,23
QB,xfp_roll5_24,582,0.22179878048780488,0.455731947933577,0.40790439205486667,0.0927883142181775,0.015589387620052114,0.5,0.015589387620052114,0.15218000324863545,NA,NA,NA,NA,NA,NA,NA,NA,23
QB,def_pass_success_allowed_roll4,2624,1,0.0432520747986637,0.0400158851899172,0.037752368527139604,0.03759848752792119,0.75,0.032568116947819255,0.15154945742799605,NA,NA,NA,NA,NA,NA,NA,NA,23
QB,opp_man_rate_roll4_24,2624,1,0.033249142625720755,0.02926996769746194,0.03613899554340948,0.03609990570878401,0.75,0.031194671293601088,0.14939775381204123,NA,NA,NA,NA,NA,NA,NA,NA,23
QB,opp_zone_rate_roll4_24,2624,1,-0.03324914262572075,-0.02926940745426301,-0.036138995543409526,-0.03609990570878401,0.75,0.031194671293601074,0.14939773140231327,NA,NA,NA,NA,NA,NA,NA,NA,23
QB,season_to_date_catch_rate,2624,1,0.08067711314375806,0.08057959334929031,0.023636400183510608,0.022737310948490463,0.75,0.05287330328940906,0.14810081949027634,NA,NA,NA,NA,NA,NA,NA,NA,23
QB,carry_trend,2624,1,-0.012967744657907539,-0.030649231725441085,-0.032893562335812115,-0.03306004205771236,0.75,0.0466503280944746,0.1477908681360574,NA,NA,NA,NA,NA,NA,NA,NA,23
QB,def_qb_hit_rate_roll4,2624,1,-0.0371320253016174,-0.036854207254178824,-0.032252085018991905,-0.03212019275162012,0.75,0.0319510279595497,0.14748313226407783,NA,NA,NA,NA,NA,NA,NA,NA,23
QB,roll3_interception_rate,2624,1,0.013930911688139347,0.16166251451531816,0.02604858517010841,0.02614179427752581,0.75,0.030918512579257762,0.14710444887381155,NA,NA,NA,NA,NA,NA,NA,NA,23
QB,def_sack_rate_roll4,2624,1,-0.026775841153375637,-0.024206095569064424,-0.028859478757901347,-0.028825609815358814,0.75,0.036814915304445195,0.14471212727159866,NA,NA,NA,NA,NA,NA,NA,NA,23
QB,projection_spread_232,2624,1,-0.0037786364333113258,-0.0038732883325692715,-0.02971303284045699,-0.02994967237869104,0.75,0.04127715866552962,0.14362509520980518,NA,NA,NA,NA,NA,NA,NA,NA,23
QB,def_pass_epa_allowed_roll4,2624,1,0.029851652044871398,0.024654051901157617,0.026055435766520856,0.025952362264109657,0.75,0.03609443683874225,0.14301889290217346,NA,NA,NA,NA,NA,NA,NA,NA,23
QB,tw_combine_cone_24,2624,1,-0.1021117109068886,-0.12156677431634445,-0.013760675137484092,-0.012452925604008295,0.75,0.03516179538157255,0.1427631304491543,NA,NA,NA,NA,NA,NA,NA,NA,23
