player_id,player_display_name,position,current_team,dynasty_year,projected_age,projected_fppg,projected_fantasy_points,confidence,elite_probability,starter_probability,breakout_probability
00-0040676,Cam Ward,QB,TEN,2026,24.27104722792608,13.182318434556322,224.09941338745747,Low,0.0960176686566084,0.22313080382985487,0.294444438301802
00-0032268,Marcus Mariota,QB,WAS,2026,32.837782340862425,12.95408459467137,161.27835320365855,Low,0.1397797351319537,0.31921028790128514,0.34600059045280934
00-0036945,Justin Fields,QB,KC,2026,27.49349760438056,12.820039413016492,151.2764650735946,Low,0.1592161965347261,0.34476038354059096,0.25384230646189937
00-0023459,Aaron Rodgers,QB,PIT,2026,42.74880219028063,12.776979915719611,208.90362162201566,Low,0.05809192578395987,0.11891263640479888,0.27847865742012545
00-0041568,Ty Simpson,QB,LA,2026,23.696098562628336,12.685657328558507,190.2848599283776,Rookie-Low,0.11165946982341138,0.23279341684759192,0.18967340397093413
00-0040743,Tyler Shough,QB,NO,2026,26.926762491444215,12.400797213588708,162.45044349801208,Low,0.02870229426802241,0.09023282536269515,0.2316828998397096
00-0026158,Joe Flacco,QB,CIN,2026,41.62354551676933,11.14567999554466,160.4977919358431,Low,0.04319249784938138,0.1057980598428848,0.18783251112599716
00-0030565,Geno Smith,QB,NYJ,2026,35.893223819301845,10.964344240420202,172.14020457459716,Low,0.03939025164996553,0.09748234360317516,0.18632351171023237
00-0033119,Jacoby Brissett,QB,ARI,2026,33.72210814510609,10.87753191843462,163.70685537244105,Low,0.03939025164996553,0.09748234360317516,0.17152185482551904
00-0039917,Michael Penix Jr.,QB,ATL,2026,26.316221765913756,10.814125940890175,127.60668610250407,Low,0.06430641048811452,0.17469328302972492,0.14580187428064034
00-0033869,Mitchell Trubisky,QB,TEN,2026,32.03285420944559,10.67007559171346,91.22914630915007,Low,0.07613855539248987,0.22437113190835775,0.2554720981939282
00-0036972,Mac Jones,QB,SF,2026,27.98904859685147,10.248721720055393,134.25825453272563,Low,0.07475327818312918,0.1895421922638439,0.23913634713007983
00-0032950,Carson Wentz,QB,MIN,2026,33.67008898015058,10.115668509556064,93.06415028791578,Low,0.03817448691633588,0.17154651159322667,0.237542881088698
