position,season,cohort,base_n,base_MAE,base_RMSE,base_correlation,base_rank_correlation,candidate_n,candidate_MAE,candidate_RMSE,candidate_correlation,candidate_rank_correlation,MAE_improvement_pct,RMSE_improvement_pct
WR,2023,Starter,648,5.900967997251175,7.6287969225676635,0.2684432707394486,0.24508109871751882,648,5.877510101526705,7.655818285087957,0.27299507432598935,0.2516365576586739,0.3975262318893549,-0.35420214739703126
WR,2024,All,2441,3.955352276432709,5.524969804918226,0.5783627360298145,0.6558612928137413,2441,3.830503638215159,5.525301869712336,0.5848242291811864,0.6611104183881875,3.156448009989888,-0.006010255364911792
WR,2024,Relevant,1440,5.020032395455242,6.587206777596237,0.4057745942057437,0.4382442862579076,1440,4.937392635228547,6.596640050363671,0.4166867198581465,0.44583737547353625,1.6461997396971197,-0.14320596097753485
WR,2024,Starter,648,5.8990547290528434,7.47554892824403,0.21035847821101988,0.20605751970864086,648,5.804798798033732,7.452769115247634,0.23254793407015326,0.22409900754618156,1.5978141473226324,0.3047242846653025
WR,2025,All,2511,3.6798012800016986,5.076041820811297,0.5889431397206354,0.6452824391465644,2511,3.5532262647743997,5.056020333736957,0.5937723658632874,0.6501544031586505,3.4397242023688963,0.3944310898356588
WR,2025,Relevant,1440,4.680458799328785,6.053078870413949,0.4542201759559464,0.47520131610912336,1440,4.568998578270189,6.026211579842198,0.46241104118838205,0.48325880288013073,2.381395197295203,0.44386156445229824
WR,2025,Starter,648,5.655058746148703,7.095170800725629,0.25807290221813906,0.23245703748207486,648,5.589243434542684,7.072425115762645,0.27160573211238587,0.24432759301536697,1.1638307321005554,0.32057980846152917
TE,2022,All,1207,3.1800879580421335,4.53470741108631,0.4635676186432375,0.4973074462079558,1207,3.1044478391941497,4.476295399741429,0.4763538167913423,0.5082204083853743,2.3785542993141844,1.288109817230486
TE,2022,Relevant,648,4.056179067502513,5.394709972671906,0.3481564453654982,0.35855975861702594,648,3.942141528537851,5.309611282893705,0.36716942498324423,0.38088605925503954,2.811452282230666,1.5774469843473942
TE,2022,Starter,216,5.192018434849376,6.595226877685366,0.2344246706599694,0.1568414035695182,216,5.017901840202093,6.447827047682509,0.2587158612614453,0.20256627087137832,3.3535434596802305,2.2349470721254163
TE,2023,All,1188,2.94415555297832,4.166378734687766,0.5303754948896678,0.5535054201330258,1188,2.882752743116109,4.160670660584952,0.5400323460421388,0.5621260473192456,2.0855830732209606,0.1370032458953039
TE,2023,Relevant,648,3.654686900138921,4.993298143790703,0.4332193050802069,0.4766686782316284,648,3.6054619274488084,4.985886483015279,0.44740107403487495,0.4895067309897179,1.346899858596409,0.14843216972013945
TE,2023,Starter,216,4.764373422396662,6.435723743584393,0.16930083295652246,0.180641104971032,216,4.733906081488532,6.431311602174647,0.1885550852888709,0.209158402038113,0.6394826393100761,0.06855703547163443
TE,2024,All,1223,2.9655199260686764,4.119580024376391,0.5707614261363243,0.5929311621938562,1223,2.8731723672171827,4.138038760873326,0.5728406608169464,0.597506805751072,3.114042770028418,-0.4480732595971243
TE,2024,Relevant,648,3.8060258494346866,5.049671234258471,0.44742404551962744,0.49244406386505135,648,3.754608104360503,5.0914531773947145,0.44819268496407894,0.4922165055223786,1.3509562758702924,-0.8274190773605625
TE,2024,Starter,216,4.5095763323982645,6.034772271119285,0.2842750196792429,0.3302165613087868,216,4.546496908144672,6.123509772414149,0.28362696351936556,0.33481327282567297,-0.8187149529138213,-1.4704366181228903
TE,2025,All,1287,2.978182410566744,4.296211502696079,0.5674795765648329,0.6191629167286611,1287,2.901214450590159,4.305720404939303,0.5718733544772262,0.6264027210908392,2.5843937464508167,-0.2213322653518602
TE,2025,Relevant,648,3.9933223326905174,5.271767148461089,0.4124739130086231,0.4036130555187346,648,3.90472038002209,5.278126820659974,0.42122727150284744,0.42198726662636754,2.2187528400376206,-0.1206364397323821
TE,2025,Starter,216,4.8070799590861615,6.332283857165625,0.3500852631694158,0.31181260779558156,216,4.747885194574069,6.380130201700203,0.35480573220233114,0.3298978652765588,1.2314079444467068,-0.7555938049181824
